Reference number,References
20,"Cogalniceanu, D. and C. Miaud. 2003. Variation in life history traits in Bombina bombina from the lower Danube floodplain. Amphibia-Reptilia 25: 115-119"
21,"Szymura, J.M. and N.H. Barton. 1986. Genetic Analysis of a Hybrid Zone Between the Fire-Bellied Toads, Bombina bombina and B. variegata, Near Cracow in Southern Poland. Evolution 40: 1141-1159"
22,"Pichenot, J. 2008. Contribution à la Biologie de la Conservation du Sonneur à ventre jaune (Bombina variegata L.) Écologie spatiale et approche multi-échelles de la sélection de l’habitat en limite septentrionale de son aire de répartition. Thesis. 191pp. France"
23,"Vukov, T.D., G. Dzukic, S. Lelo, L.J. Borkin, S.N. Litvinchuk and M.L. Kalezic. 2006. Morphometrics of the yellow-bellied toad (Bombina variegata) in the Central Balkans: implications for taxonomy and zoogeography. Zoological Studies 45: 213-222"
24,"Seidel, B. 1999. Water-wave Communication between Territorial Male Bombina variegata (L.) 1758 (Anura:Bombinatoridae). Journal of Herpetology 33: 457-462"
25,"Morand, A. 1997. Stabilité relative des habitats de développement larvaire et de reproduction de Bombina variegata et Bufo calamita: lʼinsuffisance des Modèles r-K et r-K-A. Geobios 30: 23-36"
26,"Collectif de l’Acemav. 2003. Les amphibiens de France, Belgique et Luxembourg. Collection Parthénope. 480pp. Mèze, France"
27,"Beshkov, V.A. and D.L. Jameson. 1980. Movement and abundance of the yellow-bellied toad Bombina variegata. Herpetologica 36: 365-370"
28,"Barandun, J. and H.U. Reyer. 1998. Reproductive ecology of Bombina variegata: Habitat use. Copeia 2: 297-500"
29,"Hartel, T. 2008. Movement activity in a Bombina variegata population from a deciduous forested landscape. North-Western Journal of Zoology 4: 79-90"
30,"Cabela, A. and L. Girolla. 1994. Die Erstbesiedlung des Marchfeldkanals durch Amphibien. Herpetozoa 7: 109-138"
31,"Herrmann, D. 1996. Aktionsraum und Biotopverbund in südniedersächsischen Gelbbauchunken-Populationen. Naturschutzreport 11: 63-68"
32,"Abbühl, R. and H. Durrer. 1996. Habitatpräferenz und Migrationsverhalten bei der Gelbbauchunke (Bombina variegata variegata) in einer seminatürlichen Versuchsanlage. Salamandra 32: 23-30"
33,"Jehle, R. and U. Sinsch. 2007. Wanderleistung und Orientierung von Amphibien: eine Übersicht. Zeitschrift für Feldherpetologie 14: 137-152"
34,"Gittins, S.P. 1983. Population dynamics of the common toad (Bufo bufo) at a lake in Mid-Wales. Journal of Animal Ecology 52: 981-988"
35,"Vignes, J.C. 2009. Quelques caractéristiques biologiques de la reproduction du Crapaud commun (Bufo bufo L .) au Pays Basque. Munibe (Ciencias Naturales-Natur Zientziak) 57: 147-162"
36,"Jovanovic, M. 2009. Amphibia and Reptilia of Stoj plao (Ulcinj, Montenegro). Bulletin of the Natural History Museum 2: 137-152"
37,"Haapanen, A. 1974. Site tenacity of the common toad, Bufo bufo (L). Annales Zoologici Fennici 11: 251-252"
38,"Heusser, H. 1969. Die lebensweise der erdkrote (Bufo bufo L.). Das orientierungsproblem. Revue suisse de zoologie 76: 444-517"
39,"Moore, H.J. 1954. Some observations on the migration of the toad, (Bufo b. bufo). British Journal of Herpetology 1: 194-224"
40,"Parker, A.G. and S.P. Gittins. 1979. A note on home range in the common toad in mid-Wales and a method for tracking toads for behavioural observation. British Journal of Herpetology 6: 7-8"
41,"Sinsch, U. 1989. Migratory behaviour of the common toad Bufo bufo and the natterjack toad Bufo calamita. Amphibians and roads proceedings of the toad tunnel conference 113-125"
42,"Reading, C.J., J. Loman and T. Madsen. 1991. Breeding pond fidelity in common toads, Bufo bufo. Journal of Zoology 225: 201-211"
43,"Sinsch, U. 1988. Seasonal changes in the migratory behaviour of the toad Bufo bufo : direction and magnitude of movements. Oecologia 78: 390-398"
44,"Baker, J.M.R. and T.R. Halliday. 1999. Amphibian colonization of new ponds in an agricultural landscape. Herpetological Journal 9: 55-63"
45,"Tomašević, N., D. Cvetković, C. Miaud, I. Aleksić and J. Crnobrnja-Isailović. 2008. Interannual variation in life history traits between neighbouring populations of the widespread amphibian Bufo bufo. Revue d’Écologie (la Terre and la Vie) 63: 371-381"
46,"Hettyey, A., J. Török and G. Hévizi. 2005. Male Mate Choice Lacking in the Agile Frog, Rana dalmatina. Society 2: 403-408"
47,Natura&Biodiversité. 2011. La Roche-sur-Yon. France. Available from http://biodiversite.ville-larochesuryon.fr (accessed Oct 2010)
48,"Vaucher, P.Y. 2011. Batraciens et Reptiles du Monde. Depot.com and IDDN Certification. Available from http://www.batraciens-reptiles.com/ (accessed Oct 2010)"
49,"Martínez-Solano, I. 2009. Sapillo pintojo ibérico - Discoglossus galganoi. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
50,"Martínez-Solano, I. 2009. Sapillo pintojo meridional – Discoglossus jeanneae. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
51,"Nöllert, A. and C. Nöllert. 2003. Guide des Amphibiens d’Europe : biologie, identification et répartition. 299pp. Paris, France"
52,"Bensettiti, F. and V. Gaudillat. 2004. Cahiers dʼhabitats Natura 2000. Connaissance et gestion des habitats et des espèces d'intérêt communautaire. Tome 7 : Espèces animales. 353pp. Paris, France"
53,"Brunet, P., D. Sanuy, N. Oromí, M. Ait Hammou and W. Dahmani. 2009. Anuran Studies from Tiaret region, north-west of Algeria. Boletín de la Asociación Herpetológica Española 20: 68-72"
54,"Montori, A., G.A. Llorente, A. Richter-Boix, D. Villero, M. Franch and N. Garriga. 2007. Potential effects of the invasive Discoglossus pictus on native species. Munibe society of science 25: 14-27"
55,"Martínez-Solano, I. 2009. Sapillo pintojo mediterráneo – Discoglossus pictus. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
56,"Grillas, P., P. Gauthier, N. Yavercovski and C. Perennou. 2004. Les mares temporaires méditerranéennes volume 2 fiches espèces. Station biologique de la Tour du Valat. 130pp. France"
57,"Grossenbacher, K. and W. Böhme. 2009. Handbuch der Reptilien und Amphibien Europas, Band 5/II. 503pp"
58,"Boulenger, G.A. 1897. The tailless Batrachians of Europe, Part II. 200 pp. London, UK"
59,"Jacob, J.-P., C. Percsy, H. de Wavrin, E. Graitson, T. Kinet, M. Denoël, M. Paquay, N. Percsy and A. Remacle. 2007. Amphibiens et Reptiles de Wallonie. Aves – Raînne et Centre de Recherche de la Nature, des Forêts et du Bois (MRW - DGRNE), Série « Faune - Flore - Habitats » n° 2. 384pp. Namur, France"
60,"Miaud, C., D. Sanuy, and J.N. Avrillier. 2000. Terrestrial movements of the natterjack toad Bufo calamita (Amphibia, Anura) in a semi-arid, agricultural landscape. Amphibia-Reptilia 21: 357-369"
61,"Sinsch, U. 1988. Temporal Spacing of Breeding Activity in the Natterjack Toad, Bufo calamita. Oecologia 76: 399-407"
62,"Sinsch, U. 1997. Postmetamorphic dispersal and recruitment of first breeders in a Bufo calamita metapopulation. Oecologia 112: 42-47"
63,"Sinsch, U. 1992. Structure and dynamic of a natterjack toad metapopulation (Bufo calamita). Oecologia 112: 489-499"
64,"Gómez-Mestre, I. 2009. Sapo corredor – Epidalea calamita. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
65,"Husté, A., J. Clobert and C. Miaud. 2006. The movements and breeding site fidelity of the natterjack toad (Bufo calamita) in an urban park near Paris (France) with management recommendations. Amphibia-Reptilia 27: 561-568"
66,"Meuche, I. and T. Grafe. 2009. Supplementary feeding affects the breeding behaviour of male European treefrogs (Hyla arborea). BMC ecology 9: 1-7"
67,"Stumpel, A.H.P. and G. Hanekamp. 1986. Habitat and ecology of Hyla arborea in The Netherlands. Pages 409-412 In Z. Rocek, editors. Studies in Herpetology. Charles University, Prague, Czech Republic"
68,"Vos, C.C., C.J.F. Ter Braak and W. Nieuwenhuizen. 2000. Incidence Function Modelling and Conservation of the Tree Frog Hyla arborea in the Netherlands. Ecological Bulletins 48: 165-180"
69,"Carlson, A. and P. Edenhamn. 2000. Extinction Dynamics and the Regional Persistence of a Tree Frog Metapopulation. Proceedings of the Royal Society B: Biological Sciences 267: 1311-1313"
70,"Clausnitzer, C. and H.J. Clausnitzer. 1984. First results of a repopulation of the tree frog Hyla arborea in the district of Celle, Lower Saxony, West Germany. Salamandra 20: 50-55"
71,"Fog, K. 1993. Migration in the tree frog Hyla arborea. In Ecology and conservation of the European tree frog. DLO Institute for Forestry and Nature Research: Wageningen, The Netherlands"
72,"Pellet, J., L. Rechsteiner, A.K. Skrivervik, J.-F. Zürcher and N. Perrin. 2006. Use of the Harmonic Direction Finder to study the terrestrial habitats of the European tree frog (Hyla arborea). Amphibia-Reptilia 27: 138-142(2006)."
73,"Márquez, R. and M. Tejedo-Madueno. 1990. Size-based mating pattern in the tree-frog Hyla arborea. Herpetologica 46: 176-182"
74,"Rosso, A., S. Castellano, and C. Giacoma. 2004. Ecogeographic analysis of morphological and life-history variation in the Italian treefrog. Evolutionary Ecology 18: 303-321"
75,"Sillero, N. 2009. Ranita meridional – Hyla meridionalis. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
76,"Ingram, W.M. and E.C. Raney. 1943. Additional studies on the movement of tagged bullfrogs, Rana catesbeiana Shaw. American Midland Naturalist 29: 239-241"
77,"Raney, E.C. 1940. Summer movements of the bullfrog, Rana catesbeiana Shaw, as determined by the jaw-tag method. American Midland Naturalist 23: 733-745"
78,"Willis, Y.L., P.B. Moyle and T.S. Baskett. 1956. Emergence, breeding, hibernation, movements, and transformation of bullfrog, Rana catesbeiana, in Missouri. Copeia 1956: 30-35"
79,"Boulenger, G.A. 1920. A Monograph of the American Frogs of the Genus Rana. Proceedings of the American Academy of Arts and Sciences 55: 413-480"
80,"Boyd, S.K., K.D. Wissing, J.E. Heinsz and G. S. Prins. 1999. Androgen receptors and sexual dimorphisms in the larynx of the bullfrog. General and Comparative Endocrinology 113: 59-68"
81,"Coïc, C. and M. Détaint. 2001. Invasion de la grenouille taureau (Rana catesbeiana Shaw) en France : Synthèse bibliographique - suivi 2000-2001 - perspectives. 30pp. Cistude Nature. France"
82,"Recuero, E. 2010. Sapo de espuelas – Pelobates cultripes. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
83,"Leclair, M.H., J.R. Leclair and J. Gallant. 2005. Application of skeletochronology to a population of Pelobates cultripes (Anura: Pelobatidae) from Portugal. Journal of Herpetology 39: 199-205"
84,"Hels, T. 2002. Population dynamics in a Danish metapopulation of spadefoot toads Pelobates fuscus. Ecography 25: 303-313"
85,"Jehle, R., W. Hödl and A. Thonke. 1995. Structure and dynamics of central European amphibian populations: A comparison between Triturus dobrogicus (Amphibia, Urodela) and Pelobates fuscus (Amphibia, Anura). Australian Journal of Ecology 20, 362-366"
86,"Graitson E. and J.-P. Jacob (Aves). 2004. Système dʼinformations sur la Biodiversité en Wallonie, observatoire de la Faune, de la Flore et des Habitats. 2011. Available from http://old.biodiversite.wallonie.be/ (accessed Oct 2010)"
87,"Eggert, C. 2002. Use of fluorescent pigments and implantable transmitters to track a fossorial toad (Pelobates fuscus). Herpetological Journal 12: 69-74"
88,"Reques, R. 2009. Sapillo moteado ibérico – Pelodytes ibericus. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
89,"Sánchez-Herráiz, M.J., L.J. Barbadillo, A. Machordom and B. Sanchiz. 2000. A new species of pelodytid frog from the Iberian Peninsula. Herpetologica 56: 105-118"
90,"Disi, A.M. and Z.S. Amr. 2010. Morphometrics, distribution and ecology of the amphibians in Jordan. Vertebrate Zoology 60: 147-162"
91,"Beerli, P. 1994. Rana cerigensis Beerli, Hotz, Tunner, Heppich, and Uzzell. Version 20 December 1995 (under construction). Available from http://tolweb.org/Rana_cerigensis/17503/1995.12.20 in The Tree of Life Web Project (accessed Oct 2010)"
92,"Beerli, P. 1994. Rana cretensis Beerli, Hotz, Tunner, Heppich, and Uzzell. Version 20 December 1995 (under construction). Available from http://tolweb.org/Rana_cretensis/17501/1995.12.20 in The Tree of Life Web Project (accessed Oct 2010)"
93,"Tsiora, A. and P. Kyriakopoulou-Sklavounou. 2002. A skeletochronological study of age and growth in relation to adult size in the water frog Rana epeirotica. Zoology 105: 55-60"
94,"Tsiora, A. and P. Kyriakopoulou-Sklavounou. 2002. Female reproductive cycle of the water frog Rana epeirotica in northwestern Greece. Amphibia-Reptilia 23: 269-280"
95,"Tsiora, A. and P. Kyriakopoulou-Sklavounou. 2001. Male reproductive cycle of the water frog Rana epeirotica in northwestern Greece. Amphibia-Reptilia 22: 291-302"
96,"Beerli, P. 1995. Rana epeirotica. Version 20 December 1995 (under construction). Available from http://tolweb.org/Rana_epeirotica/17495/1995.12.20 in The Tree of Life Web (accessed Oct 2010)"
97,"Jean, T. 2007. Document pour l’étude et la détermination des Amphibiens du Massif armoricain. CPN des Sittelles (Connaître et Protéger la Nature). 20pp. France"
98,"Tunner, H.G. 1992. Locomotion behavior in water frogs from Neusiedlersee. In Z. Koros and I. Kiss, editors. Proceeding of the sixth ordinary general meeting of the Society for European Herpetologists. Hungarian Natural History Museum."
99,"Krizmanić, I. 2008. Basic morphological characteristics of the Rana (Pelophylax) synklepton esculenta complex in relation to legal regulations in Serbia. Archives of Biological Sciences (Belgrade) 60: 629-639"
100,"Tryjanowski, P., T. Sparks, M. Rybacki and L. Berger. 2006. Is body size of the water frog Rana esculenta complex responding to climate change? Naturwissenschaften 93: 110-113"
101,"Altwegg, R. and H.U. Reyer. 2003. Patterns of natural selection on size at metamorphosis in water frogs. Evolution 57: 872-882"
102,"Holenweg Peter, A.-K. 2001. Dispersal rates and distances in adult water frogs, Rana lessonae, R. ridibunda and their hybridogenetic associate R. esculenta. Herpetologica 57: 449-460"
103,"Holenweg Peter, A.-K. 2001. Survival in adults of the water frog Rana lessonae and its hybridogenetic associate Rana esculenta. Canadian Journal of Zoology 79: 652-661"
104,"Sjögren, P. 1988. Metapopulation biology of Rana lessonae Camerano on the northern periphery of its range. 35pp. Dissertation. Uppsala University, Uppsala, Sweden"
105,"Sjögren Gulve, P. 1998. Spatial movement patterns in frogs: target-oriented dispersal in the pool frog, Rana lessonae. Ecoscience 5: 31-38"
106,"Egea-Serrano, A. 2009. Rana común – Pelophylax perezi. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
107,"Kyriakopoulou-Sklavounou, P. and N. Loumbourdis. 1990. Annual ovarian cycle in the frog Rana ridibunda in Northern Greece. Journal of Herpetology 24: 185-191"
108,"Kyriakopoulou-Sklavounou, P., S. Panagiota and A. Tsiora. 2008. A skeletochronological study of age, growth and longevity in a population of the frog Rana ridibunda from southern Europe. Zoology 111: 30-36"
109,"Yilmaz, N., B. Kutrup, U. Çobanoglu and Y. Özoran. 2005. Age determination and some growth parameters of a Rana ridibunda population in Turkey. Acta Zoologica Academiae Scientiarum Hungaricae 51: 67-74"
110,"Arıkan, H., K. Olgun, I.E. Çevik and C.V.A. Tok. 1998. Taxonomical Study on the Rana ridibunda PALLAS, 1771 (Anura: Ranidae) Population from Ivriz-Eregli (Konya). Turkish Journal of Zoology 22: 181-184"
111,"Budak, A., C.V. Tok, and D. Ayaz. 2000. On specimens of Rana ridibunda Pallas, 1771 (Anura: Ranidae) Collected from Işıklı Lake (Çivril-Denizli). Turkish Journal of Zoology 24: 135-137"
112,"Ayaz, D., C. V. Tok, A. Mermer, M. Tosunoğlu, M. Afsar and K. Çiçek. 2006. A New Locality for Rana ridibunda caralitana Arıkan, 1988 (Anura: Ranidae) in the Central Anatolia. EU Journal of Fisheries and Aquatic Sciences 23: 181-183"
113,"Beerli, P. 1995. Rana shqiperica Hotz, Uzzell, Günther, Tunner and Heppich 1987. Version 20 December 1995 (under construction). Available from http://tolweb.org/Rana_shqiperica/17497/1995.12.20 in The Tree of Life Web Project (accessed Oct 2010)"
114,"Salvador, A. 2009. Sapo balear – Pseudepidalea balearica. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
115,"Kutrup, B., U. Bülbül and N. Yilmaz. 2006. Effects of the ecological conditions on morphological variations of the green toad, Bufo viridis, in Turkey. Ecological Research, Melbourne 21: 208-214"
116,"Hoffman, J. and U. Katz. 1997. Salt and water balance in the toad Bufo viridis during recovery from two different osmotically stressful conditions. Comparative Biochemistry and Physiology Part A: Molecular and Integrative Physiology 117: 147-154"
117,"Karakousis, Y. and P. Kyriakopoulou-Sklavounou.1995. Genetic and Morphological Differentiation among Populations of the Green Toad Bufo viridis from Northern Greece. Biochemical Systematics and Ecology 23: 39-45"
118,"Castellano, S. and C. Giacoma. 1998. Morphological variation of the green toad, Bufo viridis, in Italy; a test of causation. Journal of Herpetology 32: 540-550"
119,"Castellano, S., M. Cucco and C. Giacoma. 2004. Reproductive investment of female green toads (Bufo viridis). Copeia 2004, 659-664"
120,"Haapanen, A. 1970. Site tenacity of the common frog Rana temporaria L. and the moor frog Rana arvalis Nilss. Annales Zoologici Fennici 7: 61-66"
121,"Lodé, T. 1993. Rythme dʼactivité et déplacements chez la Grenouille agile Rana dalmatina Bonaparte 1840. Bulletin Société Herpétologique de France 67-68: 13-22"
122,"Ponsero, A. and P. Joly. 1998. Clutch size, egg survival and migration distance in the agile frog (Rana dalmatina) in a floodplain. Archiv für Hydrobiologie 142: 343-352"
123,"Weddeling, K., G. Bosbach, M. Hatchel, U. Sander, P. Schmidt and D. Tarkhnishvili. 2005. Egg size versus clutch size: variation and trade-offs in reproductive output of Rana dalmatina and R. temporaria in a pond near Bonn (Germany).  Pages 238 – 240 In N. Ananjeva and O. Tsinenko, editors. Herpetologia Petropolitana. St. Petersburg, Russia"
124,"Salvador, A. 2009. Rana patilarga – Rana iberica. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
125,"Guarino, F.M., S. Lunardi, M. Carlomagno and S.A. Mazzoti. 2003. A skeletochronological study of growth, longevity and age at sexual maturity in a population of Rana latastei (Amphibia, Anura). Journal of Biosciences 28: 775-782"
126,"Pellitteri-Rosa, D., A. Gentilli, R. Sacchi, S. Scali, F. Pupin, E. Razzetti, F. Bernini and M. Fasola. 2008. Factors affecting repatriation success of the endangered Italian agile frog (Rana latastei). Amphibia-Reptilia 29: 235-244"
127,"Serra-Cobo, J., G. Lacroix, and S. White. 1998. Comparison between the ecology of the new European frog Rana pyrenaica and that of four Pyrenean amphibians. Journal of Zoology 246: 147-154"
128,"Vieites, D.R. and M. Vences. 2007. Rana pirenaica – Rana pyrenaica. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
129,"Seitz, A., U. Faller-Doepner and W. Reh. 1992. Radio-tracking of the common frog (Rana temporaria). Pages 484-489. In I.G. Priede and S.M. Swift, editors. Wildlife Telemetry: Remote Monitoring and Tracking of Animals. Ellis Horwood Ltd, Chichester, UK"
130,"Cummins, C.P. 1986. Temporal and spatial variation in egg size and fecundity in Rana temporaria. Journal of Animal Ecology 55: 303-316"
131,"Alho, J.S., G. Herczeg, and  J. Merilä. 2008. Female-biased sex ratios in subarctic common frogs. Journal of Zoology 275: 57-63"
132,"Morrison, C. and J.M. Hero. 2003. Geographic variation in life history characteristics of amphibians: a review. Journal of Animal Ecology 72: 270-279"
133,"Lesbarrères, D., D.S. Schmeller, C.R. Primmer and J. Merilä. 2007. Genetic variability predicts common frog (Rana temporaria) size at metamorphosis in the wild. Heredity 99: 41-46"
134,"Safner, T., C. Miaud, O. Gaggiotti, S. Decout, D. Rioux, S. Zundel and S. Manel. 2010. Combining demography and genetic analysis to assess the population structure of an amphibian in a human-dominated landscape. Conservation Genetics 12: 161-173"
135,"Smith, E.E., L.H. du Preez, B.A. Gentles, K.R. Solomon, B. Tandler, J.A. Carr, G.J. Van Der Kraak, R.J. Kendall, J.P. Giesy and T.S. Gross. 2005. Assessment of laryngeal muscle and testicular cell types in Xenopus laevis (Anura Pipidae) inhabiting maize and non-maize growing areas of South Africa. African Journal of Herpetology 54: 69-76"
136,"Measey, G.J. and R.C. Tinsley. 1998. Feral Xenopus Laevis in South Wales. Herpetological Journal 8: 23-27"
137,"Richards, C.T. 2010. Kinematics and hydrodynamics analysis of swimming anurans reveals striking inter-specific differences in the mechanism for producing thrust. The Journal of experimental biology 213: 621-634"
138,"Renzo, S. and , S. Giuliana. 1966. Lʼoviparitàt in Hydromantes genei (Temm, e Schl). Italian Journal of Zoology 33: 283-291"
139,"Lanza, B., V. Caputo, G. Nascetti and L. Bullini. 1995. Morphologic and genetic studies on the European plethodontid salamanders: taxonomic inferences (genus Hydromantes). Monografie XVI, Museo Regionale di Scienze Naturali, Torino, Italy"
140,"Raffaëlli, J. 2007. Les Urodèles du monde. 377pp. France"
141,"Wiens, J.J. and J.T. Hoverman. 2008. Digit reduction, body size, and paedomorphosis in salamanders. Evolution and Development 10: 449-463"
142,"Boulenger, G.A. 1882. Catalogue of the Batrachia Gradientia s. Caudata and Batrachia Apoda in the collection of the British Museum, ed. 2. 127pp. London, UK"
143,"Amat, F. and S. Carranza. 2006. Tritón del Montseny - Calotriton arnoldi. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
144,"Carranza, S. and F. Amat. 2005. Taxonomy, biogeography and evolution of Euproctus (Amphibia : Salamandridae), with the resurrection of the genus Calotriton and the description of a new endemic species from the Iberian Peninsula. Zoological Journal of the Linnean Society 145: 555-582"
145,"Montori, A. and G.A. Llorente. 2009. Tritón pirenaico – Calotriton asper. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
146,"Issartel, J., Y. Voituron, O. Guillaume, J. Clobert and F. Hervant. 2010. Selection of physiological and metabolic adaptations to food deprivation in the Pyrenean newt Calotriton asper during cave colonisation. Comparative biochemistry and physiology. Part A, Molecular and integrative physiology 155: 77-83"
147,"Miaud, C. and O. Guillaume. 2005. Variation in Age, Body Size and Growth Among Surface and Cave-Dwelling Populations of the Pyrenean Newt, Euproctus Asper (Amphibia; Urodela). Herpetologica 61: 241-249"
148,"Hervant, F., J. Mathieu and J.P. Durand. 2001. Behavioural, physiological and metabolic responses to long-term starvation and refeeding in a blind cave-dwelling salamander (Proteus anguinus) and a facultative cave-dwelling newt (Euproctus asper). Journal of Experimental Biology 204: 269-281"
149,"Hervant, F., J. Mathieu and J.P. Durand.  2000. Metabolism and circadian rhythm in the European blind cave salamander (Proteus anguinus) and a facultative cave dweller, the Pyrenean newt (Euproctus asper). Canadian Journal of Zoology 78: 1427-1432"
150,"Dreiss, A.N., O. Guillaume and J. Clobert. 2009. Diverging Cave- and River-Dwelling Newts Exert the Same Mate Preference in their Native Light Conditions. Ethology 115: 1036-1045"
151,Losange. 2008. Amphibiens et reptiles. 125pp. Artémis Editions. France 
152,"Montori, A., G.A. Llorente and A. Richter-Boix. 2008. Habitat features affecting the small-scale distribution and longitudinal migration patterns of Calotriton asper in a Pre-Pyrenean population. Amphibia-Reptilia 29: 371-381"
153,"Vences, M. 2009. Salamandra rabilarga – Chioglossa lusitanica. En: Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
154,"Arntzen, J.W., D.S.J. Groenenberg, J. Alexandrino, N. Ferrand and F. Sequeira. 2007. Geographical variation in the golden-striped salamander, Chioglossa lusitanica Bocage, 1864 and the description of a newly recognized subspecies. Journal of Natural History 41: 925-936"
