Taxa,Class,Size,DW,AFDW,AFDW:DW
Radix balthica,Gastropoda,4,0.00206,0.0006,29.13
Radix balthica,Gastropoda,4,0.003651111,0.000728889,19.96
Radix balthica,Gastropoda,5,0.007484615,0.0015,20.04
Radix balthica,Gastropoda,6,0.0103,0.0038,36.89
Radix balthica,Gastropoda,6,0.00643,0.001487143,23.13
Radix balthica,Gastropoda,7,0.01499,0.00279,18.61
Radix balthica,Gastropoda,8,0.0167075,0.0033325,19.95
Radix balthica,Gastropoda,9,0.025507143,0.005178571,20.3
Radix balthica,Gastropoda,10,0.033803333,0.005503333,16.28
Radix balthica,Gastropoda,11,0.0363,0.0078,21.49
Theodoxus fluviatilis,Gastropoda,1,0.000438462,8.46E-05,19.3
Theodoxus fluviatilis,Gastropoda,2,0.001,0.0003,30
Theodoxus fluviatilis,Gastropoda,2,0.0007,0.0002,28.57
Theodoxus fluviatilis,Gastropoda,2,0.00126,0.00024,19.05
Theodoxus fluviatilis,Gastropoda,2,0.00237,0.000215,9.07
Theodoxus fluviatilis,Gastropoda,2,0.00126,0.0001,7.94
Theodoxus fluviatilis,Gastropoda,3,0.0052,0.0011,21.15
Theodoxus fluviatilis,Gastropoda,3,0.00325,0.00045,13.85
Theodoxus fluviatilis,Gastropoda,3,0.003616667,0.0005,13.82
Theodoxus fluviatilis,Gastropoda,3,0.007257143,0.000564286,7.78
Theodoxus fluviatilis,Gastropoda,3,0.003225,0.00024,7.44
Theodoxus fluviatilis,Gastropoda,4,0.0081,0.0016,19.75
Theodoxus fluviatilis,Gastropoda,4,0.008883333,0.001,11.26
Theodoxus fluviatilis,Gastropoda,4,0.00737619,0.000790476,10.72
Theodoxus fluviatilis,Gastropoda,4,0.014292857,0.0015,10.49
Theodoxus fluviatilis,Gastropoda,4,0.007176923,0.000546154,7.61
Theodoxus fluviatilis,Gastropoda,5,0.0157,0.0022,14.01
Theodoxus fluviatilis,Gastropoda,5,0.0159,0.0017125,10.77
Theodoxus fluviatilis,Gastropoda,5,0.0254,0.0027,10.63
Theodoxus fluviatilis,Gastropoda,5,0.01744,0.00173,9.92
Theodoxus fluviatilis,Gastropoda,6,0.0242,0.00305,12.6
Theodoxus fluviatilis,Gastropoda,6,0.023625,0.0024625,10.42
Theodoxus fluviatilis,Gastropoda,6,0.029440909,0.003040909,10.33
Theodoxus fluviatilis,Gastropoda,6,0.03393,0.00328,9.67
Theodoxus fluviatilis,Gastropoda,7,0.02508,0.00286,11.4
Theodoxus fluviatilis,Gastropoda,7,0.04625,0.00435,9.41
Theodoxus fluviatilis,Gastropoda,7,0.0403,0.0037,9.18
Theodoxus fluviatilis,Gastropoda,8,0.0585375,0.0055875,9.55
Theodoxus fluviatilis,Gastropoda,9,0.0835,0.0105,12.57
