"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"16-5204-1",16,5204,0,1,"Doliolum","carbonWeight","0.338","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Atlantic ",-60,30,"","Biggs1977","Kiorboe2013c","10.1594/PANGAEA.833792","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:137222","Doliolum Quoy & Gaimard, 1834","Genus","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Doliolum","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Doliold sp.","Biom.C/ind.[ug/#]","338","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-20-1",16,20,2,1,"Brachyscelus globiceps","carbonWeight","0.0771","mg","numeric","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:236552","Brachyscelus globiceps (Claus, 1879)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Amphipod","literature",NA,"P. Pata","2023-08-15",1,"Brachyscelus latipes","Biom.C/ind.[ug/#]","77.1","ug","female",NA,NA,FALSE,FALSE,NA,NA,NA
"16-2731-1",16,2731,0,1,"Crangon affinis","carbonWeight","4.43","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:246272","Crangon affinis De Haan, 1849","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Crangon affinis","Biom.C/ind.[ug/#]","4430","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-3022-1",16,3022,3,1,"Euphausia mutica","carbonWeight","0.179","mg","numeric","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:110688","Euphausia mutica Hansen, 1905","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausiid","literature",NA,"P. Pata","2023-08-15",1,"Euphausia mutica","Biom.C/ind.[ug/#]","179","ug","male",NA,NA,FALSE,FALSE,NA,1.53062744343879,"Family"
"16-3544-1",16,3544,0,1,"Hypererythrops","carbonWeight","0.22","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:119865","Hypererythrops Holt & Tattersall, 1905","Genus","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Hypererythrops","Mysid","literature",NA,"P. Pata","2023-08-15",1,"Hypererythrops sp.","Biom.C/ind.[ug/#]","220","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-2829-1",16,2829,0,1,"Lysmata","carbonWeight","0.597","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:106992","Lysmata Risso, 1816","Genus","Animalia","Arthropoda","Malacostraca","Decapoda","Lysmatidae","Lysmata","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Lysmata sp.","Biom.C/ind.[ug/#]","597","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-138-1",16,138,0,1,"Orchomene","carbonWeight","0.37","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:101633","Orchomene Boeck, 1871","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Orchomene","Amphipod","literature",NA,"P. Pata","2023-08-15",1,"Orchomene sp.","Biom.C/ind.[ug/#]","370","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-2929-1",16,2929,0,1,"Penaeus","carbonWeight","6.33","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:106822","Penaeus Fabricius, 1798","Genus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Penaeus sp.","Biom.C/ind.[ug/#]","6330","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-164-1",16,164,0,1,"Phronima","carbonWeight","3.32","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:101804","Phronima Latreille, 1802","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Phronimidae","Phronima","Amphipod","literature",NA,"P. Pata","2023-08-15",1,"Phronima sp.","Biom.C/ind.[ug/#]","3320","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-4415-1",16,4415,0,1,"Cypridina","carbonWeight","0.0325","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:127520","Cypridina Milne Edwards, 1840","Genus","Animalia","Arthropoda","Ostracoda","Myodocopida","Cypridinidae","Cypridina","Ostracod","literature",NA,"P. Pata","2023-08-15",1,"Pyrocypris sp.","Biom.C/ind.[ug/#]","32.5","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-230-1",16,230,0,1,"Synopia ultramarina","carbonWeight","0.0365","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ikeda1970b","Kiorboe2013c","10.1594/PANGAEA.833895","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:211240","Synopia ultramarina Dana, 1853","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Synopiidae","Synopia","Amphipod","literature",NA,"P. Pata","2023-08-15",1,"Synopia ultramarina","Biom.C/ind.[ug/#]","36.5","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-2983-1",16,2983,0,1,"Sergestes","carbonWeight","33.9","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Atlantic ",-19.73333,41.73333,"","Mayzaud2005b","Kiorboe2013c","10.1594/PANGAEA.833962","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:106829","Sergestes H. Milne Edwards, 1830","Genus","Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Sergestes","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Sergestes sp","Biom.C/ind.[ug/#]","33900","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-2998-1",16,2998,0,1,"Systellaspis debilis","carbonWeight","23.6","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Atlantic ",-19.73333,41.73333,"","Mayzaud2005b","Kiorboe2013c","10.1594/PANGAEA.833962","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:107605","Systellaspis debilis (A. Milne-Edwards, 1881)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Systellaspis","Decapod","literature",NA,"P. Pata","2023-08-15",1,"Systellaspis debilis","Biom.C/ind.[ug/#]","23600","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-2514-1",16,2514,1,1,"Aidanosagitta regularis","carbonWeight","0.0603","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:266712","Aidanosagitta regularis (Aida, 1897)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Aidanosagitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Aidenosagitta  regularis ","Adult.weight.(mgC)","0.0603","mgC","adult",NA,NA,FALSE,FALSE,NA,0.630113208935925,"Genus"
"16-2556-1",16,2556,1,1,"Pterosagitta draco","carbonWeight","0.171","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:105430","Pterosagitta draco (Krohn, 1853)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Pterosagittidae","Pterosagitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Pterosagitta draco ","Adult.weight.(mgC)","0.171","mgC","adult",NA,NA,FALSE,FALSE,NA,NA,NA
"16-2530-1",16,2530,1,1,"Ferosagitta ferox","carbonWeight","1.86","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:266247","Ferosagitta ferox (Doncaster, 1902)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Ferosagitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Ferosagitta ferox ","Adult.weight.(mgC)","1.86","mgC","adult",NA,NA,FALSE,FALSE,NA,2.18078092562671,"Genus"
"16-2540-1",16,2540,1,1,"Krohnitta pacifica","carbonWeight","0.134","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:105428","Krohnitta pacifica (Aida, 1897)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Krohnittidae","Krohnitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Khronitta pacifica ","Adult.weight.(mgC)","0.134","mgC","adult",NA,NA,FALSE,FALSE,NA,NA,NA
"16-2541-1",16,2541,1,1,"Krohnitta subtilis","carbonWeight","0.871","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:105429","Krohnitta subtilis (Grassi, 1881)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Krohnittidae","Krohnitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Krohnitta subtilis ","Adult.weight.(mgC)","0.871","mgC","adult",NA,NA,FALSE,FALSE,NA,NA,NA
"16-2572-1",16,2572,1,1,"Zonosagitta bedoti","carbonWeight","0.589","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stone1969","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:266884","Zonosagitta bedoti (Béraneck, 1895)","Species","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Zonosagitta","Chaetognath","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Zonosagitta bedoti ","Adult.weight.(mgC)","0.589","mgC","adult",NA,NA,FALSE,FALSE,NA,0.761557945016151,"Family"
"16-372-1",16,372,1,1,"Acartia (Odontacartia) lilljeborgii","carbonWeight","0.00337","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hopcroft1998","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:346056","Acartia (Odontacartia) lilljeborgii Giesbrecht, 1889","Species","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Acartia lilljeborgi ","Adult.weight.(mgC)","0.00337","mgC","adult",NA,NA,FALSE,FALSE,NA,0.0477244444174959,"Genus"
"16-4385-1",16,4385,1,1,"Azygocypridina","carbonWeight","0.00264","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Sohn1971","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:127519","Azygocypridina Sylvester-Bradley, 1950","Genus","Animalia","Arthropoda","Ostracoda","Myodocopida","Cypridinidae","Azygocypridina","Ostracod","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Azygocypridina NA ","Adult.weight.(mgC)","0.00264","mgC","adult",NA,NA,FALSE,FALSE,NA,NA,NA
"16-605-1",16,605,1,1,"Calanoides carinatus","carbonWeight","0.048","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Kiorboe1995a","Andersen2016","10.3354/meps120285","10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:104462","Calanoides carinatus (Krøyer, 1849)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanoides","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Calanoides carinatus  ","Adult.weight.(mgC)","0.048","mgC","adult",NA,NA,FALSE,FALSE,NA,1.57803613087561,"Genus"
"16-609-1",16,609,1,1,"Calanopia americana","carbonWeight","0.00494","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hopcroft1998","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:104723","Calanopia americana Dahl F., 1894","Species","Animalia","Arthropoda","Copepoda","Calanoida","Pontellidae","Calanopia","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Calanopia americanus ","Adult.weight.(mgC)","0.00494","mgC","adult",NA,NA,FALSE,FALSE,NA,3.22249781415168,"Genus"
"16-627-1",16,627,1,1,"Calanus australis australis","carbonWeight","0.0808","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Kiorboe1995a","Andersen2016","10.3354/meps120285","10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:716449","Calanus australis australis Brodsky, 1959","Species","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Calanus australis ","Adult.weight.(mgC)","0.0808","mgC","adult",NA,NA,FALSE,FALSE,NA,0.373146113701086,"Family"
"16-712-1",16,712,1,1,"Candacia pachydactyla","carbonWeight","0.0325","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Sazhina1985","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:104483","Candacia pachydactyla (Dana, 1849)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Candacia pachydactyla ","Adult.weight.(mgC)","0.0325","mgC","adult",NA,NA,FALSE,FALSE,NA,1.06482785209112,"Genus"
"16-772-1",16,772,1,1,"Centropages velificatus","carbonWeight","0.00638","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hopcroft1998","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:346263","Centropages velificatus (Oliveira, 1947)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Centropages velificatus ","Adult.weight.(mgC)","0.00638","mgC","adult",NA,NA,FALSE,FALSE,NA,0.545288274837307,"Family"
"16-819-1",16,819,1,1,"Clausocalanus furcatus","carbonWeight","0.00207","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hopcroft1998; Sazhina1985","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:104503","Clausocalanus furcatus (Brady, 1883)","Species","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Clausocalanus furcatus ","Adult.weight.(mgC)","0.00207","mgC","adult",NA,NA,FALSE,FALSE,NA,0.797400262929866,"Family"
"16-3872-1",16,3872,1,1,"Farranula rostrata","carbonWeight","0.00147","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Sazhina1985","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:128814","Farranula rostrata (Claus, 1863)","Species","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Farranula","Non-calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Corycaella rostrata ","Adult.weight.(mgC)","0.00147","mgC","adult",NA,NA,FALSE,FALSE,NA,0.806242173497838,"Family"
"16-3836-1",16,3836,1,1,"Ditrichocorycaeus amazonicus","carbonWeight","0.00157","mg","numeric","adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hopcroft1998","Andersen2016",NA,"10.1146/annurev-marine-122414-034144","urn:lsid:marinespecies.org:taxname:358326","Ditrichocorycaeus amazonicus (Dahl F., 1894)","Species","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Ditrichocorycaeus","Non-calanoid","literature","Estimated from size measures for mean adult. Conversions were made at the lowest available taxonomic level. Multi-step conversion done when needed.","P. Pata","2023-08-15",1,"Corycaeus amazonicus ","Adult.weight.(mgC)","0.00157","mgC","adult",NA,NA,FALSE,FALSE,NA,0.695001482719245,"Family"
