Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Allactaga tetradactyla,52,,,,,,,,,,,,,,,
Allactodipus bobrinskii,65,,,,,,,,2.5,,,,,,,
Alle alle,152.5,,,,,,,,16,5.5,,0.05,,,,
Allenopithecus nigroviridis,4702.5,,,,,,,,23,,,,,,,
Alligator mississippiensis,150000,,,,,,,,42.5,11,,0.1833,,,,
Allocebus trichotis,85,,,,,,,,,,,,,,,
Alopias vulpinus,348000,,,,,,,,25,9.5,,0.2142,,,,
Alopochen aegyptiaca,1875,,,,,,,,,2,,0.0333,,,,
Alosa aestivalis,400,,,,,,,,,,3.5472,,0.0676,,,
Alosa chrysochloris,453,,,,,,,,6,2.5,,0.05,,,,
Alosa pseudoharengus,110,,,,,,,,10,2.5,,0.0583,,,,
Alosa sapidissima,2500,,,,,,,,10,4,,0.0667,,,,
Alouatta belzebul,,,,,,,,,,,,,,,,
Alouatta caraya,7000,,,,,,,,,,2.5778,,0.054,,,
Alouatta guariba,,,,,,,,,17.5,5.0833,,0.0597,,,,
Alouatta palliata,6000,,,,,,,,20,3.5,3.55,0.05,0.0507,,,
Alouatta pigra,8900,,,,,,,,20,3.5,,0.0583,,,,
Alouatta seniculus,5500,,,,,,,,25,7,,0.0833,0.0683,,,
Amazilia saucerrottei,4.5,,,,,,,,,,,,,,,
Amazilia tzacatl,5.35,,,,,,,,,,,,,,,
Amazona aestiva,415,,,,,,,,,3,,0.05,,,,
Amazona farinosa,620,,,,,,,,,4.5,,0.075,,,,
Amazona leucocephala,280.5,,,,,,,,,,,,,,,
Amazona ochrocephala,483,,,,,,,,56,3,,0.05,,,,
Ambloplites rupestris,3000,,,,,,,,6.5,2.5,,0.0417,,,,
Amblycercus holosericeus,63.8,,,,,,,,,,,,,,,
Amblyomma cajennense,1,,,,,,,,1,0.5,,0.0083,,,,
Amblysomus hottentotus,70.5,,,,,,,,,,,,,,,
Ambystoma maculatum,12.84,,,,,,,,30,4,,0.075,,,,
Ambystoma mexicanum,85,,,,,,,,,1,,0.0167,,,,
Ambystoma tigrinum,9.4,,,,,,,,,,4.0556,,0.0676,,,
Ameiurus melas,1430,,,,,,,,5,2,,0.0333,,,,
Ameiurus natalis,454,,,,,,,,4,2.5,2.0278,0.0417,0.0338,,,
Ameiurus nebulosus,500,,,,,,,,7,3,,0.05,,,,
Ameiva ameiva,68,,,,,,,,,0.6667,,0.0111,,,,
Ametrida centurio,10.2,,,,,,,,,,,,,,,
Amia calva,1130,,,,,,,,30,4,4.0556,0.0667,0.0718,,,
Ammocrypta clara,1.5,,,,,,,,,,,,,,,
Ammodorcas clarkei,28500,,,,,,,,11,1.25,,0.0208,,,,
Ammodramus henslowii,13,,,,,,,,7,1,,0.0167,,,,
Ammodramus nelsoni,20,,,,,,,,8,,,,,,,
Ammodramus savannarum,17.25,,,,,,,,2.9,1,,0.0167,,,,
Ammospermophilus harrisii,122,,,,,,,,3,0.3208,,0.0146,,,,
Ammospermophilus interpres,102.5,,,,,,,,,,,,,,,
Ammospermophilus leucurus,105,,,,,,,,,1,1.0139,0.0167,0.0169,,,
Ammospermophilus nelsoni,155,,,,,,,,0.67,1.0472,,0.0175,,,,
Ammotragus lervia,105000,,,,,,,,10,,,0.0264,0.0155,,,
Amorphochilus schnablii,3.3,,,,,,,,,,,,,,,
Amphiprion akindynos,27.5,,,,,,,,8,,,,,,,
Amphispiza bilineata,12,,,,,,,,6,,,,,,,
Amyda cartilaginea,20000,,,,,,,,,4.5,,0.15,,,,
Anarhynchus frontalis,55.5,,,,,,,,5.4,2,,0.0333,,,,
Anas acuta,908,,,,,,,,22.25,1,0.6667,0.0167,0.0111,,,
Anas americana,997.5,,,,,,,,21,1,,0.0167,,,,
Anas clypeata,735,,,,,,,,18.58,,,,,,,
Anas crecca,250,,,,,,,,20.25,,0.5,,0.0083,,,
Anas cyanoptera,340,,,,,,,,12.92,1,,0.0167,,,,
Anas discors,389.5,,,,,,,,17.4,,,,,,,
Anas falcata,,,,,,,,,,,,,,,,
Anas flavirostris,405,,,,,,,,,1,,0.0167,,,,
Anas formosa,434,,,,,,,,,1,,0.0167,,,,
Anas fulvigula,1043,,,,,,,,2.03,1,,0.0167,,,,
Anas laysanensis,250,,,,,,,,11.83,,,,,,,
Anas penelope,693,,,,,,,,35.17,1.5,,0.025,,,,
Anas platyrhynchos,1082,,,,,,,,26.33,,1.0139,,0.0169,,,
Anas rubripes,1245,,,,,,,,26.42,,1.0139,,0.0169,,,
Anas strepera,860,,,,,,,,19.5,1,,0.0167,,,,
Anastomus oscitans,5100,,,,,,,,,0.1667,,0.0028,,,,
Anathana ellioti,160,,,,,,,,,,,,,,,
Anaxyrus terrestris,19,,,,,,,,0,2.5,,0.0417,,,,
Andigena hypoglauca,307,,,,,,,,,,,,,,,
Andrias japonicus,25000,,,,,,,,4.17,,,,,,,
Anelosimus eximius,0.01,,,,,,,,0.2,0.2083,,0.0035,,,,
Anguilla anguilla,6599,,,,,,,,85,9,,0.2417,,,,
Anguilla rostrata,4031.5,,,,,,,,,,4.5611,,0.076,,,
Anhima cornuta,3150,,,,,,,,,,,,,,,
Anhinga anhinga,1350,,,,,,,,11.92,,,,,,,
Anniella pulchra,2.8,,,,,,,,,3,,0.0333,,,,
Anodorhynchus hyacinthinus,1450,,,,,,,,50,8,,0.1333,,,,
Anolis carolinensis,4,,,,,,,,5.5,0.7083,,0.0118,,,,
Anomalurus beecrofti,650,,,,,,,,,,,,,,,
Anoura geoffroyi,15.2,,,,,,,,,,,,,,,
Anous minutus,112.5,,,,,,,,25,3,,0.05,,,,
Anser albifrons,2720,,,,,,,,20.3,3,,0.05,,,,
Anser anser,3360,,,,,,,,20.28,2.5,,0.0417,,,,
Anser caerulescens,2456.5,,,,,,,,19.5,,,0.0667,,,,
Anser canagicus,2800,,,,,,,,6,3.5,,0.0583,,,,
Anser cygnoides,3150,,,,,,,,,2,,0.0333,,,,
Anser fabalis,3100,,,,,,,,25.6,3,,0.05,,,,
Anser indicus,2500,,,,,,,,20,3,,0.05,,,,
Anseranas semipalmata,2500,,,,,,,,32,2,,0.0333,,,,
Antaresia perthensis,200,,,,,,,,25,2,,0.0333,,,,
Antechinomys laniger,25,,,,,,,,5.58,0.9583,,0.016,,,,
Antechinus stuartii,44,,,,,,,,,,0.7917,,0.0132,,3,3
Antechinus swainsonii,41,,,,,,,,,0.6667,,0.0111,0.0153,,,
Anthropoides virgo,2350,,,,,,,,,6,,0.1,,,,
Anthus spinoletta,23.9,,,,,,,,8.8,,,,,,,
Anthus spragueii,24,,,,,,,,,,,,,,,
Antidorcas marsupialis,39500,,,,,,,,20,,1.1111,,0.0099,,,
Antilocapra americana,53500,,,,,,,,16,2,,0.0222,,,,
Antilope cervicapra,37500,,,,,,,,15,,,,0.0216,,18,18
Antrozous pallidus,22.5,,,,,,,,9,1,1.0139,0.0167,0.0169,,,
Aonyx capensis,15800,,,,,,,,11,1,,0.0167,,,,
Aonyx capensis congica,20000,,,,,,,,,1,,0.0167,,,,
Aonyx cinerea,4050,,,,,,,,,,,,,,,
Aotus azarae,800,,,,,,,,,2,,0.0333,,,,
Aotus lemurinus,0.9,,,,,,,,,2.5,,0.0417,,,,
Aotus nancymaae,788,,,,,,,,,0.8486,,0.0141,,,,
Aotus nigriceps,750,,,,,,,,11,2,,0.0583,,,,
Aotus trivirgatus,800,,,,,,,,20,,2.0278,,0.038,,,
Apalone ferox,43600,,,,,,,,,,,,,,,
Aphelocoma californica,85,,,,,,,,15.75,1,,0.0167,,,,
Aphelocoma coerulescens,77,,,,,,,,4.5,1,1.0139,0.0167,0.0169,,,
Aphelocoma ultramarina,124.5,,,,,,,,17.58,,,,,,,
Aplodinotus grunniens,2025,,,,,,,,13,5,,0.0917,,,,
Aplodontia rufa,1125,,,,,,,,10,,2.0278,,0.0338,,,
Aplysia californica,1000,,,,,,,,1,1,,0.0167,,,,
Apodemus agrarius,21.5,,,,,,,,,,0.2111,,0.0035,,,
Apodemus sylvaticus,23.4,,,,,,,,1,,0.1806,,0.0033,,,
Aptenodytes forsteri,29500,,,,,,,,19.9,5.5,,0.0833,,,,
Aptenodytes patagonicus,11800,,,,,,,,,5,,0.0833,,,,
Apteryx australis,3150,,,,,,,,20,,,0.0667,,,,
Apteryx haastii,2850,,,,,,,,20,2.25,,0.0625,,,,
Apus apus,44.9,,,,,,,,21,2,,0.0333,,,,
Aquila audax,3900,,,,,,,,5.9,3,,0.05,,,,
Aquila chrysaetos,4562.5,,,,,,,,28.33,5.5,,0.0917,,,,
Aquila clanga,2100,,,,,,,,,,,,,,,
Aquila heliaca,3000,,,,,,,,56,,,,,,,
Aquila pomarina,1600,,,,,,,,22.5,3.5,,0.0583,,,,
Aquila rapax,2225,,,,,,,,16,3.5,,0.0583,,,,
Ara ararauna,1357,,,,,,,,32.5,3.5,,0.0583,,,,
Ara glaucogularis,800,,,,,,,,,5,,0.0833,,,,
Ara macao,1200,,,,,,,,33,3.5,,0.0583,,,,
Ara rubrogenys,487.5,,,,,,,,50,,,,,,,
Aramides cajanea,397,,,,,,,,3.7,,,,,,,
Araneus marmoreus,0.69,,,,,,,,0.5,,,,,,,
Arapaima gigas,200000,,,,,,,,,,,,,,,
Aratinga nana,85,,,,,,,,,,,,,,,
Aratinga pertinax,89,,,,,,,,10,,,,,,,
Aratinga solstitialis,111.5,,,,,,,,,2,,0.0333,,,,
Arborimus longicaudus,37,,,,,,,,,,,,,,,
Archidoris montereyensis,,,,,,,,,,,,,,,,
Archilochus alexandri,3.1,,,,,,,,10.08,,,,,,,
Archilochus colubris,3.6,,,,,,,,9.08,1,,0.0167,,,,
Arctictis binturong,14500,,,,,,,,18,2.3083,2.3333,0.0417,0.0428,,,
Arctocebus calabarensis,365.5,,,,,,,,13,1.5,0.75,0.025,0.0129,,,
Arctocephalus australis,130000,,,,,,,,21,7,7.1,0.05,0.0507,,,
Arctocephalus forsteri,,,,,,,,,,4.5,,0.0833,,,,
Arctocephalus galapagoensis,45500,,,,,,,,22,0,,0.0667,,,22,22
Arctocephalus gazella,83500,,,,,,,,25,3.5,,0.0583,,,23,23
Arctocephalus philippii,95000,,,,,,,,,,,,,,,
Arctocephalus pusillus,198000,,,,,,,,18,,4.5639,,0.0591,,,
Arctocephalus townsendi,105000,,,,,,,,,,,,,,,
Arctocephalus tropicalis,95000,,,,,,,,17.5,10.5,,0.0833,,,,
Arctonyx collaris,10500,,,,,,,,,1,,0.0035,,,,
Ardea alba,1026,,,,,,,,15,2,,0.0333,,,,
Ardea cinerea,790,,,,,,,,5,1,,0.0167,,,,
Ardea goliath,4400,,,,,,,,,,,,,,,
Ardea herodias,2300,,,,,,,,15,1.8333,,0.0306,,,,
Ardeotis kori,12250,,,,,,,,,3,,0.05,,,,
Arenaeus cribrarius,45,,,,,,,,,0.1944,,0.0032,,,,
Arenaria interpres,137,,,,,,,,19.75,2,,0.0333,,,,
Arion lusitanicus,0.54,,,,,,,,1,0.5417,,0.009,,,,
Armadillidium vulgare,0.09,,,,,,,,1.5,1,,0.0167,,,,
Artibeus jamaicensis,50,,,,,,,,8,0.8333,,0.0139,,,,
Artibeus lituratus,69.4,60.33,38.25,54,4.4,33.8,,,,,,,,,,
Arvicanthis niloticus,118,,,,,,,,0.85,0.3333,0.125,0.0056,0.0021,,,
Arvicola amphibius,160,,,,,,,,0.45,0.0972,,0.0016,,,,
Asio flammeus,347,,,,,,,,4.42,1,1.0139,0.0167,0.0169,,,
Asio otus,327.5,,,,,,,,11.08,1,,0.0167,,,,
Aspidites melanocephalus,16000,,,,,,,,25,4.5,,0.075,,,,
Astacopsis gouldi,500,,,,,,,,,,,,,,,
Astrochelys yniphora,12200,,,,,,,,,20,,0.3333,,,,
Astronotus ocellatus,3000,,,,,,,,,,,,,,,
Asturina nitida,425,,,,,,,,,2,,0.0333,,,,
Atelerix albiventris,600,,,,,,,,,,,,0.0039,,,
Atelerix frontalis,352.5,,,,,,,,3,1,,0.0167,0.0169,,,
Ateles belzebuth,8150,,,,,,,,,5,5.0722,0.0667,0.0676,,,
Ateles fusciceps,9000,,,,,,,,,,5.0722,0.0708,0.0701,,,
Ateles geoffroyi,7267.5,,,,,,,,,5,5.0722,0.0667,0.0845,,,
Ateles hybridus,8500,,,,,,,,27,4.5,,0.075,,,,
Ateles paniscus,7887.5,,,,,,,,20,4.5,,0.075,,,,
Atelocynus microtis,9500,,,,,,,,,,,,,,,
Athene cunicularia,191,,,,,,,,11,0.8333,,0.0139,,,,
Athene noctua,164,,,,,,,,15.58,1,,0.0167,,,,
Atherurus africanus,2900,,,,,,,,,,,,,,,
Atherurus macrourus,2650,,,,,,,,15,2,,0.0333,,,,
Atilax paludinosus,3300,,,,,,,,,,0.7083,,,,,
Atractoscion nobilis,41000,,,,,,,,12,3,,0.0667,,,,
Atractosteus spatula,137000,,,,,,,,26,6,,0.1833,,,,
Atta sexdens,0.02,,,,,,,,12.5,,,,,,,
Aulacorhynchus prasinus,154.5,,,,,,,,11,,,,,,,
Auriparus flaviceps,7,,,,,,,,3,1,,0.0167,,,,
Avahi laniger,950,,,,,,,,,,,,,,,
Axis axis,36000,,,,,,,,,,2.5361,0.0215,,,,
Axis porcinus,43000,,,,,,,,20,0.8333,,0.0139,0.0141,,,
Aythya affinis,900,,,,,,,,18.33,1,,0.0167,,,,
Aythya americana,1065,,,,,,,,22.58,1,,0.0167,,,,
Aythya collaris,700,,,,,,,,20.42,1,,0.0167,,,,
Aythya valisineria,1226,,,,,,,,22.6,1,,0.0167,,,,
Babyrousa babyrussa,71500,,,,,,,,24,,1.5222,,0.0254,,,
Balaena mysticetus,87500000,,,,,,,,200,20,25.3472,0.3333,0.4225,,,
Balaenoptera acutorostrata,7500000,,,,,,,,45,6,7.6111,0.1,0.1269,,,
Balaenoptera borealis,20000000,,,,,,,,70,10,10.1444,0.1667,0.1691,,,
Balaenoptera edeni,14300000,,,,,,,,72,11.5,,0.1917,,,,
Balaenoptera musculus,190000000,,,,,,,,85,5,5.075,0.0833,0.0846,,,
Balaenoptera physalus,70000000,,,,,,,,75,6.7,,0.1283,,,,
Balearica regulorum,3500,,,,,,,,22,3,,0.05,,,,
Balionycteris maculata,12,,,,,,,,,2,,0.0333,,,,
Barbastella barbastellus,8,,,,,,,,21,,,,,,,
Basileuterus rufifrons,15,,,,,,,,,,,,,,,
Basiliscus basiliscus,350,,,,,,,,7,2,,0.0278,,,,
Bassaricyon gabbii,1235,,,,,,,,10,0,,0.0313,,,,
Bassariscus astutus,1081,,,,,,,,7,0.8333,0.8333,0.0139,0.0139,,,
Bassariscus sumichrasti,900,,,,,,,,23,,0.8333,,0.0139,,,
Bdeogale nigripes,1950,,,,,,,,,,,,,,,
Beatragus hunteri,110000,,,,,,,,,3.5,,0.0417,,,,
Berardius bairdii,9000000,,,,,,,,71,,8.1167,,0.2029,,,
Bettongia gaimardi,1700,,,,,,,,4.5,1,,0.1667,,,,
Bettongia lesueur,1100,,,,,,,,3,0.4167,,0.0069,0.0101,,,
Bettongia penicillata,1350,,,,,,,,,,,,0.0083,,,
Bibimys chacoensis,28.6,,,,,,,,,,,,,,,
Bison bison,609000,,,,,,,,17.5,3,2.5333,0.0417,,,,
Bison bonasus,900000,,,,,,,,24,2,2.0278,0.05,0.0338,,,
Bitis gabonica,8500,,,,,,,,,,,,,,,
Biziura lobata,2250,,,,,,,,,2.5,,0.0417,,,,
Blarina brevicauda,21.63,,,,,,,,2.5,,0.1806,,0.0021,,,
Blarina carolinensis,22.5,,,,,,,,1,0.175,,0.0029,,,,
Blarina hylophaga,14.5,,,,,,,,1,0.175,,0.0029,,,,
Blarinomys breviceps,12,,,,,,,,,,,,,,,
Blastocerus dichotomus,109000,,,,,,,,,,,,,,,
Blatta orientalis,0.7,,,,,,,,,,,,,,,
Blattella germanica,0.1,,,,,,,,0.39,,,,,,,
Bombycilla cedrorum,32,,,,,,,,8.17,1,,0.0167,,,,
Bombycilla garrulus,57.75,,,,,,,,12,,,,,,,
Bonasa umbellus,644,,,,,,,,8.5,,0.3333,,0.0056,,,
Bos frontalis,825000,,,,,,,,,,1.5278,,0.0273,,,
Bos grunniens,650000,,,,,,,,25,7,,0.1167,,,25,25
Bos javanicus,700000,,,,,,,,18,3,,0.05,,,,
Bos sauveli,795500,,,,,,,,20,,,,,,,
Bos taurus,755000,,,,,,,,,1,,0.0167,0.0254,,,
Boselaphus tragocamelus,180000,,,,,,,,,,,,0.0377,,,
Botaurus lentiginosus,600,,,,,,,,8.33,,,,,,,
Bothrops asper,6000,,,,,,,,,,,,,,,
Brachinus fumans,,,,,,,,,,,,,,,,
Brachylagus idahoensis,430,,,,,,,,,0.9167,,0.0153,,,,
Brachypelma klaasi,30,,,,,,,,30,0,,0,,,,
Brachyphylla cavernarum,45,,,,,,,,,,,,,,,
Brachyphylla nana,45,,,,,,,,,,,,,,,
Brachytarsomys albicauda,210,,,,,,,,,,,,,,,
Brachyteles arachnoides,13500,,,,,,,,,8.5,,0.1417,,,,
Bradypus pygmaeus,2900,,,,,,,,,,,,,,,
Bradypus torquatus,3900,,,,,,,,20,2.5,,0.0417,,,,
Bradypus tridactylus,3880,,,,,,,,,,3.0417,,0.076,,,
Bradypus variegatus,4340,,,,,,,,35,4,,0.05,,,,
Branta canadensis,6950,,,,,,,,12,3,,0.05,,,,
Branta leucopsis,1900,,,,,,,,21.5,2,,0.0333,,,,
Branta sandvicensis,2050,,,,,,,,17.75,2.5,,0.0417,,,,
Brevoortia tyrannus,1283,,,,,,,,,,,,,,,
Brosme brosme,12000,,,,,,,,20,9,,0.15,,,,
Brychius hungerfordi,,,,,,,,,,,,,,,,
Bubalus bubalis,725000,,,,,,,,25,3,,0.025,0.0232,,,
Bubalus depressicornis,157500,,,,,,,,30,2,2.0278,0.0333,0.0338,,,
Bubalus mindorensis,240000,,,,,,,,,,,,,,,
Bubalus quarlesi,225000,,,,,,,,,2,,0.0333,,,,
Bubo blakistoni,3350,,,,,,,,,2.5,,0.0417,,,,
Bubo bubo,2800,,,,,,,,68,2,,0.0333,,,,
Bubo virginianus,1450,,,,,,,,28,2,,0.0333,,,,
Bubulcus ibis,220,,,,,,,,17,,,,,,,
Bucephala albeola,391.5,,,,,,,,2.5,2,,0.0333,,,,
Bucephala clangula,900,,,,,,,,15,2,,0.0533,,,,
Bucephala islandica,900,,,,,,,,15,2,,0.0533,,,,
Buceros bicornis,3000,,,,,,,,37.5,,,,,,,
Bucorvus abyssinicus,4000,,,,,,,,,,,,,,,
Bucorvus leadbeateri,3200,,,,,,,,,3,,0.05,,,,
Budorcas taxicolor,275000,,,,,,,,,,2.0278,,0.0338,,,
Bugeranus carunculatus,8640.5,,,,,,,,,5.5,,0.0917,,,,
Bunolagus monticularis,1650,,,,,,,,,,,,,,,
Bunopithecus hoolock,6500,,,,,,,,0,8.5,,0.1417,,,,
Burramys parvus,45,,,,,,,,4,,0.8889,,0.0148,,,
Buteo albonotatus,775,,,,,,,,,,,,,,,
Buteo brachyurus,441,,,,,,,,,,,,,,,
Buteo jamaicensis,1009.5,,,,,,,,28.83,3,2.0278,0.05,0.0338,,,
Buteo lagopus,1026,,,,,,,,1.7,2.5,,0.0417,,,,
Buteo lineatus,625,,,,,,,,2.13,1,,0.0167,,,,
Buteo platypterus,412.5,,,,,,,,12,2,,0.0333,,,,
Buteo regalis,1505,,,,,,,,23.67,,2.0278,,0.0338,,,
Buteo swainsoni,980.64,,,,,,,,19.58,,2.0278,,0.0338,,,
Buteogallus anthracinus,950,,,,,,,,13.5,,,,,,,
Butorides sundevalli,214,,,,,,,,9.75,2,,0.0333,,,,
Butorides virescens,175,,,,,,,,7.92,1,,0.0167,,,,
Bycanistes subcylindricus,1262.5,,,,,,,,,3,,,,,,
Cabassous centralis,2500,,,,,,,,,,,,,,,
Cabassous tatouay,5350,,,,,,,,,,,,,,,
Cacajao calvus,2500,,,,,,,,18,6,,0.05,0.0557,,,
Cacajao melanocephalus,3100,,,,,,,,12,,,,,,,
Cacatua alba,565,,,,,,,,30,5.5,,0.0917,,,,
Cacatua galerita,800,,,,,,,,40,3.5,,0.0583,,,,
Cacatua leadbeateri,375,,,,,,,,55,3.5,,0.0583,,,,
Cacicus cela,81.5,,,,,,,,,2,,0.0333,,,,
Caenolestes fuliginosus,36.5,,,,,,,,,,,,,,,
Caiman crocodilus,40000,,,,,,,,60,6,,0.1,,,,
Cairina moschata,4300,,,,,,,,7.5,0.5444,,0.0088,,,,
Calcarius ornatus,20.5,,,,,,,,4,,,,,,,
Calidris alba,70,,,,,,,,13,2,,0.0333,,,,
Calidris alpina,55,,,,,,,,5.4,1.5,,0.025,,,,
Calidris canutus rufa,119.5,,,,,,,,7,1.5,,0.025,,,,
Calidris maritima,67.5,,,,,,,,5,1,,0.0167,,,,
Calidris pusilla,26.5,,,,,,,,16,1,,0.0167,,,,
Callaeas cinereus,219,,,,,,,,11,3,,0.025,,,,
Callagur borneoensis,25000,,,,,,,,,7,,0.1167,,,,
Callicebus cupreus,1000,,,,,,,,,,,,,,,
Callicebus moloch,804,,,,,,,,,,,,0.0422,,,
Callicebus personatus,1310,,,,,,,,,,,,,,,
Callicebus torquatus,1300,,,,,,,,,,,,,,,
Callimico goeldii,626.5,,,,,,,,,1.1667,1.0972,0.0194,0.0169,,,
Callipepla californica,170.05,,,,,,,,6.92,,,,,,,
Callipepla gambelii,180,,,,,,,,,1,,0.0167,,,,
Callisaurus draconoides,13.5,,,,,,,,4,2,,0.0333,,,,
Callithrix argentata,1360,,,,,,,,,,0.9278,,0.0141,,,
Callithrix aurita,306,,,,,,,,,,,,,,,
Callithrix flaviceps,341.5,,,,,,,,10,0.9167,,0.0306,,,,
Callithrix geoffroyi,270,,,,,,,,10,1.375,,0.0229,,,,
Callithrix humilis,167.5,,,,,,,,,,,,,,,
Callithrix jacchus,330,,,,,,,,10,,1.0611,,0.0221,,,
Callithrix kuhlii,375,,,,,,,,10,1,,0.0188,,,,
Callithrix penicillata,454,,,,,,,,,1.5,,0.025,,,,
Callithrix pygmaea,124,,,,,,,,11.5,1.7722,1.7722,0.0317,0.0317,,,
Callorhinchus milii,3500,,,,,,,,15,3,,0.075,,,,
Callosciurus erythraeus,272,,,,,,,,,,,,,,,
Callosciurus finlaysonii,278,,,,,,,,,,,0.0333,,,,
Callosciurus notatus,209.5,,,,,,,,,,,,,,,
Callosciurus prevostii,500,,,,,,,,,,,,,,,
Calocitta formosa,209,,,,,,,,,0.9167,,0.0153,,,,
Calomyscus bailwardi,20.4,,,,,,,,,0.4167,,0.0056,,,,
