Taxon,Genus,Species,Dry mass g,Temp. oC,Uncorrected mortality rate y-1,log10 Dry mass g,log10 Generation time at 20oC y
Bird,Aimophila,ruficeps,4.675,40,0.847,0.669781615,0.785838873
Bird,Aix,sponsa,62,40,0.112,1.792391689,1.66450426
Bird,Aix,sponsa,62,40,0.144,1.792391689,1.555359791
Bird,Alca,torda,179.8,40,0.407,2.254789687,1.104127874
Bird,Alca,torda,179.8,40,0.42,2.254789687,1.090472993
Bird,Ammodramus,caudacutus,4.45,40,0.435,0.648360011,1.075233026
Bird,Ammodramus,caudacutus,5.175,40,0.256,0.713910354,1.305482318
Bird,Ammodramus,maritimus,5.575,40,0.286,0.746244872,1.25735625
Bird,Ammodramus,maritimus,5.813,40,0.289,0.764400323,1.25282444
Bird,Ammodramus,maritimus,6.05,40,0.286,0.781755375,1.25735625
Bird,Ammodramus,savannarum,4.25,40,0.877,0.62838893,0.77072269
Bird,Amphispiza,bilineata,3.375,40,0.435,0.528273777,1.075233026
Bird,Anas,acuta,258.8,40,0.119,2.412964272,1.638175322
Bird,Anas,acuta,258.8,40,0.123,2.412964272,1.623817172
Bird,Anas,americana,179.8,40,0.119,2.254789687,1.638175322
Bird,Anas,americana,198,40,0.286,2.29666519,1.25735625
Bird,Anas,clypeata,159,40,0.153,2.201397124,1.529030852
Bird,Anas,crecca,79.5,40,0.123,1.900367129,1.623817172
Bird,Anas,crecca,91,40,0.125,1.959041392,1.61681227
Bird,Anas,cyanoptera,102,40,0.198,2.008600172,1.417057093
Bird,Anas,discors,90.75,40,0.113,1.957846634,1.66064384
Bird,Anas,discors,102.3,40,0.146,2.009875634,1.549369427
Bird,Anas,fulvigula,242,40,0.196,2.383815366,1.421466212
Bird,Anas,fulvigula,257.5,40,0.19,2.410777233,1.434968682
Bird,Anas,laysanensis,106.8,40,0.216,2.028571253,1.379268532
Bird,Anas,penelope,204.8,40,0.299,2.311329952,1.238051095
Bird,Anas,platyrhynchos,270.5,40,0.087,2.432167269,1.774203031
Bird,Anas,platyrhynchos,270.5,40,0.108,2.432167269,1.680298528
Bird,Anas,platyrhynchos,270.5,40,0.123,2.432167269,1.623817172
Bird,Anas,rubripes,350,40,0.096,2.544068044,1.73145105
Bird,Anas,strepera,247.5,40,0.13,2.393575203,1.599778931
Bird,Anas,strepera,247.5,40,0.143,2.393575203,1.558386246
Bird,Anhinga,anhinga,308.8,40,0.215,2.489677292,1.381283823
Bird,Anous,minutus,29.75,40,0.116,1.47348697,1.649264294
Bird,Anous,stolidus,49.5,40,0.101,1.694605199,1.709400909
Bird,Anous,tenuirostris,27.75,40,0.158,1.443262987,1.515065196
Bird,Anser,albifrons,614,40,0.113,2.788168371,1.66064384
Bird,Anser,albifrons,614,40,0.125,2.788168371,1.61681227
Bird,Anser,albifrons,675.8,40,0.113,2.829818187,1.66064384
Bird,Anser,brachyrhynchus,661.3,40,0.115,2.820398523,1.653024443
Bird,Anser,caerulescens,657.6,40,0.095,2.817961805,1.735998678
Bird,Anser,caerulescens,657.6,40,0.103,2.817961805,1.700885058
Bird,Anser,caerulescens,657.6,40,0.13,2.817961805,1.599778931
Bird,Anser,canagica,685.8,40,0.286,2.836197481,1.25735625
Bird,Anser,canagica,685.8,40,0.413,2.836197481,1.097772232
Bird,Anser,rossii,419.8,40,0.118,2.623042434,1.641840276
Bird,Anser,rossii,419.8,40,0.129,2.623042434,1.603132573
Bird,Anthus,rubescens,5.213,40,0.515,0.717087725,1.001915054
Bird,Anthus,spinoletta,5.975,40,0.515,0.77633791,1.001915054
Bird,Aphelocoma,coerulescens,20.05,40,0.161,1.302114377,1.506896407
Bird,Aphelocoma,ultramarina,31,40,0.133,1.491361694,1.589870642
Bird,Aphelocoma,ultramarina,31,40,0.144,1.491361694,1.555359791
Bird,Aphelocoma,ultramarina,31,40,0.237,1.491361694,1.338973937
Bird,Aquila,audax,875,40,0.442,2.942008053,1.068300014
Bird,Aquila,chrysaetos,869.3,40,0.148,2.93916968,1.543460568
Bird,Aquila,chrysaetos,1049,40,0.066,3.020775488,1.894178348
Bird,Aquila,chrysaetos,1049,40,0.098,3.020775488,1.722496207
Bird,Aquila,chrysaetos,1049,40,0.246,3.020775488,1.322787176
Bird,Aquila,pomarina,342.5,40,0.097,2.534660576,1.726950549
Bird,Aquila,wahlbergi,160,40,0.216,2.204119983,1.379268532
Bird,Archilochus,colubris,0.7875,40,0.286,-0.103749438,1.25735625
Bird,Archilochus,colubris,0.825,40,0.413,-0.083546051,1.097772232
Bird,Ardea,herodias,597.5,40,0.108,2.77633791,1.680298528
Bird,Arenaria,interpres,28.75,40,0.178,1.458637849,1.463302281
Bird,Asio,flammeus,86.63,40,0.198,1.937668314,1.417057093
Bird,Asio,otus,65.5,40,0.091,1.8162413,1.754680891
Bird,Athene,cunicularia,38.75,40,0.296,1.588271707,1.242430572
Bird,Auriparis,flaviceps,1.7,40,0.467,0.230448921,1.044405403
Bird,Aythya,affinis,212.5,40,0.139,2.327358934,1.570707483
Bird,Aythya,americana,205.3,40,0.118,2.312388949,1.641840276
Bird,Aythya,collaris,182.5,40,0.124,2.261262869,1.620300598
Bird,Aythya,collaris,182.5,40,0.157,2.261262869,1.517822631
Bird,Aythya,marila,233,40,0.139,2.367355921,1.570707483
Bird,Aythya,valisineria,185.8,40,0.113,2.26904571,1.66064384
Bird,Bartramia,longicauda,37.63,40,0.505,1.575534218,1.010430905
Bird,Bombycilla,cedrorum,7.963,40,0.37,0.901076716,1.145520559
Bird,Bombycilla,garrulus,14.1,40,0.45,1.149219113,1.060509769
Bird,Bonasa,umbellus,133,40,0.303,2.123851641,1.232279655
Bird,Bonasa,umbellus,144.1,40,0.34,2.158663981,1.182243366
Bird,Botaurus,lentiginosus,176.5,40,0.311,2.24674471,1.220961894
Bird,Botaurus,lentiginosus,176.5,40,0.323,2.24674471,1.204519761
Bird,Branta,bernicla,325,40,0.153,2.511883361,1.529030852
Bird,Branta,bernicla,307.5,40,0.117,2.48784512,1.645536421
Bird,Branta,bernicla,342.5,40,0.098,2.534660576,1.722496207
Bird,Branta,canadensis,828.5,40,0.108,2.918292513,1.680298528
Bird,Branta,canadensis,953.5,40,0.104,2.979320697,1.696688944
Bird,Bubo,virginianus,385.8,40,0.123,2.586362223,1.623817172
Bird,Bubo,virginianus,385.8,40,0.147,2.586362223,1.546404948
Bird,Bubulcus,ibis,84.5,40,0.11,1.926856709,1.672329598
Bird,Bubulcus,ibis,84.5,40,0.149,1.926856709,1.540536015
Bird,Bucephala,albeola,83.5,40,0.222,1.921686475,1.367369309
Bird,Bucephala,albeola,118.3,40,0.171,2.072984745,1.480726173
Bird,Bucephala,albeola,118.3,40,0.204,2.072984745,1.404092116
Bird,Bucephala,clangula,200,40,0.213,2.301029996,1.38534268
Bird,Bucephala,clangula,225,40,0.178,2.352182518,1.463302281
Bird,Bucephala,clangula,250,40,0.233,2.397940009,1.346366362
Bird,Bucephala,islandica,272.5,40,0.166,2.435366507,1.493614195
Bird,Bulweria,bulwerii,24.75,40,0.115,1.393575203,1.653024443
Bird,Butastur,indicus,99.25,40,0.303,1.996730515,1.232279655
Bird,Buteo,buteo,218.8,40,0.101,2.340047318,1.709400909
Bird,Buteo,buteo,218.8,40,0.1,2.340047318,1.713722283
Bird,Buteo,jamaicensis,281.5,40,0.118,2.449478399,1.641840276
Bird,Buteo,jamaicensis,281.5,40,0.118,2.449478399,1.641840276
Bird,Buteo,jamaicensis,281.5,40,0.128,2.449478399,1.606512314
Bird,Buteo,lagopus,239,40,0.141,2.378397901,1.564503171
Bird,Buteo,lagopus,239,40,0.235,2.378397901,1.342654421
Bird,Buteo,lagopus,266.3,40,0.142,2.425371166,1.561433939
Bird,Buteo,lineatus,139.8,40,0.127,2.145507171,1.609918562
Bird,Buteo,lineatus,139.8,40,0.127,2.145507171,1.609918562
Bird,Buteo,regalis,286.3,40,0.127,2.456821348,1.609918562
Bird,Buteo,regalis,286.3,40,0.16,2.456821348,1.509602301
Bird,Buteo,swainsoni,247.1,40,0.159,2.392872745,1.512325159
Bird,Buteo,swainsoni,247.1,40,0.16,2.392872745,1.509602301
Bird,Buteogallus,anthracinus,249,40,0.189,2.396199347,1.437260479
Bird,Butorides,striatus,53,40,0.327,1.72427587,1.199174531
Bird,Calamospiza,melanocorys,9.4,40,0.667,0.973127854,0.889596449
Bird,Calcarius,lapponicus,6.825,40,0.526,0.834102656,0.992736539
Bird,Calcarius,pictus,0.625,40,0.526,-0.204119983,0.992736539
Bird,Calcarius,pictus,6.075,40,0.667,0.783546282,0.889596449
Bird,Calidris,alba,14.25,40,0.195,1.153814864,1.423687672
Bird,Calidris,alba,14.25,40,0.495,1.153814864,1.019117084
Bird,Calidris,alpina,23,40,0.206,1.361727836,1.399855063
Bird,Calidris,alpina,23,40,0.276,1.361727836,1.272813201
Bird,Calidris,canutus,34.25,40,0.251,1.534660576,1.314048562
Bird,Calidris,canutus,34.25,40,0.42,1.534660576,1.090472993
Bird,Calidris,fuscicollis,8.675,40,0.37,0.938269483,1.145520559
Bird,Calidris,mauri,5.825,40,0.279,0.76529593,1.26811808
Bird,Calidris,melanotos,20.35,40,0.442,1.308564414,1.068300014
Bird,Calidris,minutilla,5.8,40,0.159,0.763427994,1.512325159
Bird,Calidris,minutilla,5.8,40,0.159,0.763427994,1.512325159
Bird,Calidris,minutilla,5.8,40,0.226,0.763427994,1.359613844
Bird,Calidris,ptilocnemis,19.91,40,0.355,1.29907126,1.16349393
Bird,Calidris,pusilla,7.825,40,0.213,0.893484346,1.38534268
Bird,Callipepla,californica,43.25,40,0.376,1.635986112,1.138534438
Bird,Callipepla,gambelii,42.5,40,0.35,1.62838893,1.169654239
Bird,Calothorax,lucifer,0.825,40,0.667,-0.083546051,0.889596449
Bird,Calypte,anna,1,40,0.435,0,1.075233026
Bird,Calypte,anna,1.05,40,0.413,0.021189299,1.097772232
Bird,Camptostoma,imberbe,1.85,40,0.549,0.267171728,0.974149939
Bird,Campylorhynchus,brunneicapillus,9.725,40,0.413,0.98788961,1.097772232
Bird,Caprimulgus,vociferus,13.24,40,0.667,1.121887985,0.889596449
Bird,Cardellina,rubrifrons,2.45,40,0.909,0.389166084,0.7551584
Bird,Cardinalis,cardinalis,10.98,40,0.161,1.04060234,1.506896407
Bird,Cardinalis,sinuatus,9.175,40,0.45,0.962606073,1.060509769
Bird,Carduelis,flammea,3.25,40,0.45,0.511883361,1.060509769
Bird,Carduelis,hornemanni,3.175,40,0.575,0.50174373,0.954054438
Bird,Carduelis,pinus,3.65,40,0.273,0.562292864,1.277559636
Bird,Carduelis,psaltria,2.375,40,0.459,0.375663614,1.051909598
Bird,Carduelis,tristis,3.225,40,0.233,0.508529719,1.346366362
Bird,Carduelis,tristis,3.225,40,0.276,0.508529719,1.272813201
Bird,Carpodacus,cassinii,6.625,40,0.37,0.821185883,1.145520559
Bird,Carpodacus,mexicanus,5.35,40,0.22,0.728353782,1.371299602
Bird,Carpodacus,mexicanus,5.35,40,2.941,0.728353782,0.245227259
Bird,Carpodacus,purpureus,6.225,40,0.216,0.794139356,1.379268532
Bird,Cathartes,aura,3668,40,0.151,3.564429327,1.534745336
Bird,Catharus,fuscescens,7.8,40,0.254,0.892094603,1.308888567
Bird,Catharus,guttatus,7.75,40,0.296,0.889301703,1.242430572
Bird,Catharus,minimus,8.2,40,0.355,0.913813852,1.16349393
Bird,Catharus,ustulatus,7.7,40,0.254,0.886490725,1.308888567
Bird,Catoptrophorus,semipalmatus,53.75,40,0.289,1.730378469,1.25282444
Bird,Cepphus,columba,121.8,40,0.182,2.085647288,1.453650895
Bird,Cepphus,columba,121.8,40,0.216,2.085647288,1.379268532
Bird,Cepphus,columba,121.8,40,0.276,2.085647288,1.272813201
Bird,Cepphus,grylle,101.3,40,0.211,2.005609445,1.389439828
Bird,Cerorhinca,monocerata,130,40,0.35,2.113943352,1.169654239
Bird,Cerorhinca,monocerata,130,40,0.42,2.113943352,1.090472993
Bird,Certhia,familiaris,2.25,40,0.575,0.352182518,0.954054438
Bird,Chaertura,vaux,4.275,40,0.515,0.630936119,1.001915054
Bird,Chaetura,pelagica,5.9,40,0.182,0.770852012,1.453650895
Bird,Charadrius,alexandrinus,10.35,40,0.169,1.01494035,1.485835579
Bird,Charadrius,alexandrinus,10.35,40,0.233,1.01494035,1.346366362
Bird,Charadrius,alexandrinus,10.35,40,0.37,1.01494035,1.145520559
Bird,Charadrius,melodus,13.8,40,0.182,1.139879086,1.453650895
Bird,Charadrius,melodus,13.8,40,0.233,1.139879086,1.346366362
Bird,Charadrius,semipalmatus,11.69,40,0.314,1.067814511,1.216792635
Bird,Charadrius,vociferus,24.14,40,0.235,1.382737266,1.342654421
Bird,Chlidonias,niger,16.33,40,0.147,1.212986185,1.546404948
Bird,Chlidonias,niger,16.33,40,0.307,1.212986185,1.226583908
Bird,Chondestes,grammacus,7.25,40,0.331,0.860338007,1.193894289
Bird,Chordeiles,minor,15.38,40,0.286,1.186956335,1.25735625
Bird,Ciconia,ciconia,868.3,40,0.076,2.938669801,1.832908691
Bird,Ciconia,nigra,750,40,0.141,2.875061263,1.564503171
Bird,Cinclus,mexicanus,15.25,40,0.515,1.183269844,1.001915054
Bird,Circaetus,cinereus,512,40,0.382,2.709269961,1.13165892
Bird,Circaetus,gallicus,425.8,40,0.147,2.629205657,1.546404948
Bird,Circaetus,gallicus,425.8,40,0.149,2.629205657,1.540536015
Bird,Circus,aeruginosus,156.9,40,0.152,2.195622944,1.531878695
Bird,Circus,aeruginosus,156.9,40,0.155,2.195622944,1.523390585
Bird,Circus,aeruginosus,156.9,40,0.139,2.195622944,1.570707483
Bird,Circus,cyaneus,108.9,40,0.155,2.03702788,1.523390585
Bird,Circus,cyaneus,108.9,40,0.159,2.03702788,1.512325159
Bird,Circus,macroarus,97.13,40,0.189,1.987353389,1.437260479
Bird,Circus,pygargus,78.88,40,0.156,1.896966902,1.520597685
Bird,Circus,pygargus,78.88,40,0.159,1.896966902,1.512325159
Bird,Clangula,hyemalis,203.5,40,0.163,2.308564414,1.501534679
Bird,Clangula,hyemalis,233,40,0.166,2.367355921,1.493614195
Bird,Coccyzus,americanus,16,40,0.526,1.204119983,0.992736539
Bird,Coccyzus,erythrophthalmus,12.78,40,0.526,1.106530854,0.992736539
Bird,Colaptes,auratus,33,40,0.204,1.51851394,1.404092116
Bird,Colaptes,auratus,33,40,0.279,1.51851394,1.26811808
Bird,Colaptes,auratus,33,40,0.34,1.51851394,1.182243366
Bird,Colaptes,auratus,33,40,0.388,1.51851394,1.124890558
Bird,Colinus,virginianus,44.5,40,0.407,1.648360011,1.104127874
Bird,Columba,fasciata,85.63,40,0.137,1.932625944,1.577001716
Bird,Columba,fasciata,85.63,40,0.164,1.932625944,1.498878435
Bird,Columba,leucocephala,61.75,40,0.177,1.790636962,1.465749017
Bird,Columba,leucocephala,61.75,40,0.209,1.790636962,1.393575997
Bird,Columba,leucocephala,61.75,40,0.311,1.790636962,1.220961894
Bird,Columba,livia,88.63,40,0.435,1.947580749,1.075233026
Bird,Columbina,inca,11.88,40,0.331,1.074816441,1.193894289
Bird,Columbina,passerina,7.525,40,0.36,0.876506504,1.157419782
Bird,Columbina,passerina,7.525,40,0.427,0.876506504,1.083294408
Bird,Contopus,borealis,8.025,40,0.365,0.904445041,1.151429419
Bird,Contopus,borealis,8.025,40,0.442,0.904445041,1.068300014
Bird,Contopus,sordidulus,3.2,40,0.427,0.505149978,1.083294408
Bird,Contopus,virens,3.525,40,0.365,0.547159121,1.151429419
Bird,Coragyps,atratus,520.1,40,0.099,2.716086854,1.718087089
Bird,Corvus,brachyrhynchos,112,40,0.174,2.049218023,1.473173035
Bird,Corvus,brachyrhynchos,112,40,0.185,2.049218023,1.446550555
Bird,Corvus,caurinus,97.88,40,0.199,1.990693961,1.414869207
Bird,Corvus,corax,299.8,40,0.192,2.476831629,1.430421054
Bird,Corvus,cryptoleucus,133.5,40,0.204,2.125481266,1.404092116
Bird,Corvus,ossifragus,71.25,40,0.175,1.852784869,1.470684234
Bird,Cyanocitta,cristata,21.7,40,0.139,1.336459734,1.570707483
Bird,Cyanocitta,cristata,21.7,40,0.156,1.336459734,1.520597685
Bird,Cyanocitta,stelleri,32,40,0.158,1.505149978,1.515065196
Bird,Cyanocitta,stelleri,32,40,0.233,1.505149978,1.346366362
Bird,Cyanocorax,yncas,19.63,40,0.239,1.2929203,1.335324382
Bird,Cygnus,buccinator,2713,40,0.105,3.433449794,1.692532984
Bird,Cygnus,buccinator,2850,40,0.106,3.45484486,1.688416418
Bird,Cygnus,columbianus,1550,40,0.129,3.190331698,1.603132573
Bird,Cygnus,columbianus,1425,40,0.009,3.153814864,2.759479774
Bird,Cygnus,columbianus,1550,40,0.157,3.190331698,1.517822631
Bird,Cygnus,columbianus,1600,40,0.036,3.204119983,2.157419782
Bird,Cygnus,columbianus,1663,40,0.12,3.220892249,1.634541037
Bird,Cygnus,olor,2418,40,0.192,3.383456297,1.430421054
Bird,Cygnus,olor,2684,40,0.12,3.428782511,1.634541037
Bird,Cygnus,olor,2950,40,0.094,3.469822016,1.74059443
Bird,Cypseloides,niger,11.4,40,0.435,1.056904851,1.075233026
Bird,Daption,capense,107,40,0.127,2.029383778,1.609918562
Bird,Dendragapus,canadensis,114,40,0.495,2.056904851,1.019117084
Bird,Dendragapus,canadensis,123,40,0.196,2.089905111,1.421466212
Bird,Dendragapus,obscurus,222.8,40,0.233,2.347915187,1.346366362
Bird,Dendragapus,obscurus,297,40,0.235,2.472756449,1.342654421
Bird,Dendragapus,obscurus,299.5,40,0.182,2.476396827,1.453650895
Bird,Dendrocygna,autumnalis,212.3,40,0.314,2.326949994,1.216792635
Bird,Dendrocygna,bicolor,177.5,40,0.4,2.249198357,1.111662292
Bird,Dendroica,caerulescens,2.45,40,0.323,0.389166084,1.204519761
Bird,Dendroica,caerulescens,2.538,40,0.265,0.404491618,1.290476409
Bird,Dendroica,castanea,3.138,40,0.794,0.496652939,0.813901781
Bird,Dendroica,coronata,3.025,40,0.394,0.480725379,1.118226061
Bird,Dendroica,coronata,3.138,40,0.376,0.496652939,1.138534438
Bird,Dendroica,discolor,2,40,0.249,0.301029996,1.317522936
Bird,Dendroica,dominica,2.35,40,0.515,0.371067862,1.001915054
Bird,Dendroica,fusca,2.5,40,0.314,0.397940009,1.216792635
Bird,Dendroica,kirtlandii,3.425,40,0.286,0.534660576,1.25735625
Bird,Dendroica,kirtlandii,3.45,40,0.323,0.537819095,1.204519761
Bird,Dendroica,magnolia,2.175,40,0.376,0.337459261,1.138534438
Bird,Dendroica,palmarum,2.575,40,0.45,0.410777233,1.060509769
Bird,Dendroica,palmarum,2.575,40,0.394,0.410777233,1.118226061
Bird,Dendroica,pensylvanica,2.4,40,0.376,0.380211242,1.138534438
Bird,Dendroica,petechia,2.45,40,0.289,0.389166084,1.25282444
Bird,Dendroica,pinus,2.975,40,0.382,0.47348697,1.13165892
Bird,Dendroica,striata,3.25,40,0.617,0.511883361,0.923437119
Bird,Dendroica,striata,3.25,40,0.794,0.511883361,0.813901781
Bird,Dendroica,tigrina,2.75,40,0.617,0.439332694,0.923437119
Bird,Dendroica,townsendi,2.213,40,0.746,0.344981414,0.840983456
Bird,Dendroica,virens,2.2,40,0.442,0.342422681,1.068300014
Bird,Diomedea,amsterdamensis,1568,40,0.063,3.195346058,1.914381734
Bird,Diomedea,chlororhynchos,615,40,0.068,2.788875116,1.88121337
Bird,Diomedea,chrysostoma,876.9,40,0.084,2.94295007,1.789442997
Bird,Diomedea,epomophora,2050,40,0.043,3.311753861,2.080253828
Bird,Diomedea,exulans,1913,40,0.063,3.28171497,1.914381734
Bird,Diomedea,immutabilis,766.6,40,0.047,2.884568815,2.041624425
Bird,Diomedea,immutablis,766.6,40,0.067,2.884568815,1.88764748
Bird,Diomedea,irrorata,848.8,40,0.063,2.928805371,1.914381734
Bird,Diomedea,melanophris,891,40,0.074,2.949877704,1.844490563
Bird,Diomedea,nigripes,787,40,0.091,2.895974732,1.754680891
Bird,Diomedea,nigripes,787,40,0.093,2.895974732,1.745239335
Bird,Diomedia,exulans,1913,40,0.02,3.28171497,2.412692288
Bird,Dolichonyx,oryzivorus,10.51,40,0.286,1.021602716,1.25735625
Bird,Dolichonyx,oryzivorus,10.51,40,0.318,1.021602716,1.211295163
Bird,Dryocopus,pileatus,66.5,40,0.259,1.822821645,1.300422519
Bird,Dryocopus,pileatus,71.75,40,0.259,1.855821905,1.300422519
Bird,Dryocopus,pileatus,71.75,40,0.286,1.855821905,1.25735625
Bird,Dumetella,carolinensis,9.225,40,0.235,0.964966375,1.342654421
Bird,Egretta,caerulea,84.88,40,0.183,1.928805371,1.451271193
Bird,Egretta,rufescens,112.5,40,0.207,2.051152522,1.397751938
Bird,Egretta,thula,92.75,40,0.144,1.967313918,1.555359791
Bird,Egretta,thula,92.75,40,0.226,1.967313918,1.359613844
Bird,Elanus,caeruleus,83.25,40,0.435,1.920384242,1.075233026
Bird,Empidonax,difficilis,2.5,40,0.435,0.397940009,1.075233026
Bird,Empidonax,flaviventris,2.9,40,0.685,0.462397998,0.878031712
Bird,Empidonax,fulvifrons,1.975,40,1.429,0.2955671,0.558690054
Bird,Empidonax,minimus,2.575,40,0.323,0.410777233,1.204519761
Bird,Empidonax,minimus,2.575,40,0.442,0.410777233,1.068300014
Bird,Empidonax,oberholseri,2.6,40,0.286,0.414973348,1.25735625
Bird,Empidonax,oberholseri,2.6,40,0.314,0.414973348,1.216792635
Bird,Empidonax,oberholseri,2.6,40,0.323,0.414973348,1.204519761
Bird,Empidonax,oberholseri,2.6,40,0.435,0.414973348,1.075233026
Bird,Empidonax,traillii,3.35,40,0.37,0.525044807,1.145520559
Bird,Empidonax,virescens,3.225,40,0.235,0.508529719,1.342654421
Bird,Eremophila,alpestris,7.838,40,0.323,0.894205259,1.204519761
Bird,Eremophila,alpestris,7.838,40,0.327,0.894205259,1.199174531
Bird,Eremophila,alpestris,7.975,40,0.365,0.901730692,1.151429419
Bird,Eudocimus,albus,225,40,0.156,2.352182518,1.520597685
Bird,Eudyptula,minor,276.3,40,0.195,2.441380885,1.423687672
Bird,Euphagus,carolinus,14.94,40,0.292,1.174350597,1.248339432
Bird,Euphagus,cyanocephalus,15.66,40,0.233,1.194791758,1.346366362
Bird,Falco,berigora,137.4,40,0.244,2.137986733,1.326332457
Bird,Falco,columbarius,47.63,40,0.331,1.677880582,1.193894289
Bird,Falco,eleonorae,97.5,40,0.435,1.989004616,1.075233026
Bird,Falco,mexicanus,138.5,40,0.282,2.141449773,1.263473175
Bird,Falco,mexicanus,215.8,40,0.242,2.33405144,1.329906917
Bird,Falco,naumanni,38.13,40,0.42,1.581266805,1.090472993
Bird,Falco,peregrinus,195.4,40,0.207,2.290924559,1.397751938
Bird,Falco,rupicoloides,65,40,0.4,1.812913357,1.111662292
Bird,Falco,sparverius,30,40,0.22,1.477121255,1.371299602
Bird,Falco,subbuteo,63.25,40,0.244,1.80106053,1.326332457
Bird,Falco,subbuteo,60,40,0.237,1.77815125,1.338973937
Bird,Falco,tinnunculus,50.38,40,0.159,1.702258163,1.512325159
Bird,Falco,vespertinus,41.38,40,0.207,1.616790486,1.397751938
Bird,Ficedula,hypoleuca,3,40,0.748,0.477121255,0.839820685
Bird,Ficedula,hypoleuca,3,40,0.656,0.477121255,0.896818444
Bird,Fratercula,arctica,95.25,40,0.127,1.978864984,1.609918562
Bird,Fratercula,arctica,95.25,40,0.193,1.978864984,1.428164974
Bird,Fratercula,cirrhata,194.8,40,0.435,2.289588953,1.075233026
Bird,Fregata,ariel,188.5,40,0.149,2.275311355,1.540536015
Bird,Fregata,ariel,201.5,40,0.108,2.30427505,1.680298528
Bird,Fregata,minor,263.8,40,0.074,2.421274791,1.844490563
Bird,Fregata,minor,295.8,40,0.084,2.47099817,1.789442997
Bird,Fulica,americana,140,40,0.113,2.146128036,1.66064384
Bird,Fulica,americana,160.5,40,0.13,2.205475037,1.599778931
Bird,Fulmarus,glacialis,136,40,0.052,2.133538908,1.99771894
Bird,Fulmarus,glacialis,136,40,0.355,2.133538908,1.16349393
Bird,Gallinago,gallinago,30.5,40,0.276,1.484299839,1.272813201
Bird,Gallinula,chloropus,75.63,40,0.244,1.8786941,1.326332457
Bird,Gavia,arctica,838.8,40,0.09,2.923658422,1.759479774
Bird,Gavia,immer,1034,40,0.127,3.014520539,1.609918562
Bird,Gavia,immer,1034,40,0.331,3.014520539,1.193894289
Bird,Gavia,stellata,387.8,40,0.11,2.588607805,1.672329598
Bird,Geococcyx,californianus,94,40,0.704,1.973127854,0.866149624
Bird,Geothlypis,trichas,2.475,40,0.259,0.393575203,1.300422519
Bird,Grus,americana,1457,40,0.084,3.163459552,1.789442997
Bird,Grus,americana,1457,40,0.355,3.163459552,1.16349393
Bird,Grus,canadensis,791.5,40,0.118,2.898450919,1.641840276
Bird,Grus,canadensis,791.5,40,0.131,2.898450919,1.596450988
Bird,Grus,canadensis,791.5,40,0.139,2.898450919,1.570707483
Bird,Guiraca,caerulea,7.325,40,0.442,0.864807629,1.068300014
Bird,Gygis,alba,27.75,40,0.142,1.443262987,1.561433939
Bird,Gymnogyps,californianus,2526,40,0.056,3.402433346,1.965534256
Bird,Gymnorhinus,cyanocephalus,25.75,40,0.233,1.410777233,1.346366362
Bird,Gymnorhinus,cyanocephalus,25.75,40,0.292,1.410777233,1.248339432
Bird,Gyps,coprotheres,2044,40,0.227,3.310480891,1.357696426
Bird,Haematopus,bachmani,162,40,0.159,2.209515015,1.512325159
Bird,Haematopus,bachmani,162,40,0.42,2.209515015,1.090472993
Bird,Haematopus,ostralegus,131.5,40,0.07,2.118925753,1.868624243
