Taxon,"log10Homerange(km2)","log10Mass(kg)",Diet,Environment,References
Caluromys_philander,-1.50,-0.58,Omnivore,Terrestrial,Julien-Laferriere 1995
Canis_adustus,0.04,0.98,Omnivore,Terrestrial,Fuller et al. 1989
Canis_aureus,0.17,0.96,Omnivore,Terrestrial,"Fuller et al. 1989, Poche et al. 1987"
Canis_familiaris,1.46,1.15,Omnivore,Terrestrial,"Daniels and Bekoff 1989, Gipson 1983, Harden 1985, Nakada et al. 1996, Scott and Causey 1973,Thomson 1992"
Canis_latrans,1.46,1.20,Omnivore,Terrestrial,"Althoff 1978,  Andelt 1985,  Andelt and Gipson 1979, Babb and Kennedy 1988, Berg and Chesness1978, Bowen 1982, Bradley and Fagre 1988, Danner and Smith 1980, Fuller and Keith 1981, Gese etal. 1988, Harrison et al. 1989, Hibler 1977, Holzman et al. 1992, Laundre and Keller 1983, Litvaitis andShaw 1980, Major and Sherburne 1987, Mills and Knowlton 1991, Person and Hirth 1991, Pyrah 1984,Roy and Dorrance 1985, Sargeant et al. 1987, Servin and Huxley 1995, Springer 1982, Sumner et al.1984, White et al. 1994, Windberg and Knowlton 1988, Windberg et al. 1997, Witmer and de Calesta1986, Woodruff and Keller 1982"
Canis_lupus,2.67,1.63,Carnivore,Terrestrial,"Ballard et al. 1997, Bjorge and Gunson 1989, Carbyn 1983, Ciucci et al. 1997, Fritts and Mech 1981,Fuller 1989, Messier 1985, Okarma et al. 1998, Peterson et al. 1984, Potvin 1987, VanBallenberghe etal. 1975"
Canis_mesomelas,1.20,1.00,Omnivore,Terrestrial,"Ferguson et al. 1983, Fuller et al. 1989"
Canis_simensis,0.73,1.44,Carnivore,Terrestrial,Sillero Zubiri and Gottelli 1995
Capra_hircus,1.81,1.71,Herbivore,Terrestrial,"King 1992, OBrien 1984"
Capra_pyrenaica,-0.15,1.84,Herbivore,Terrestrial,Escos and Alados 1992
Capreolus_capreolus,-0.17,1.38,Herbivore,Terrestrial,"Bideau et al. 1993, Cederlund 1983, Chapman et al. 1993, Guillet et al. 1996"
Caracal_caracal,2.58,1.11,Carnivore,Terrestrial,"Avenant and Nel 1998, Bothma and ldRiche 1994, Norton and Lawson 1985, vanHeezik and Seddon1998"
Castor_canadensis,-1.11,1.31,Herbivore,Terrestrial,"Davis and Guynn 1993, Wheatley 1997"
Catagonus_wagneri,1.04,1.54,Herbivore,Terrestrial,Taber et al. 1994
Cebus_capucinus,-0.20,0.48,Omnivore,Terrestrial,Jones et al. 2009
Cephalophus_callipygus,-0.38,1.26,Herbivore,Terrestrial,Feer 1989
Cephalophus_dorsalis,-0.45,1.31,Herbivore,Terrestrial,Feer 1989
Cephalorhynchus_heavisidii,2.78,1.88,Carnivore,Marine,"Elwin et al., 2006"
Ceratotherium_simum,1.20,3.35,Herbivore,Terrestrial,Pienaar et al. 1993
Cercartetus_nanus,-2.15,-1.62,Omnivore,Terrestrial,Laidlaw and Wilson 1996
Cercopithecus_cephus,-0.46,0.54,Omnivore,Terrestrial,Jones et al. 2009
Cercopithecus_diana,0.28,0.64,Omnivore,Terrestrial,Jones et al. 2009
Cercopithecus_mitis,-0.80,0.70,Omnivore,Terrestrial,Jones et al. 2009
Cercopithecus_nictitans,0.24,0.72,Omnivore,Terrestrial,Jones et al. 2009
Cerdocyon_thous,0.48,0.76,Omnivore,Terrestrial,"MacDonald and Courtenay 1996, Sunquist et al. 1989"
Cervus_elaphus,1.87,2.37,Herbivore,Terrestrial,"Catt and Staines 1987, Cole et al. 1997, Craighead et al. 1973, Edge et al. 1985, Franklin and Lieb1979, Georgii 1980, Irwin and Peek 1983, Jenkins and Starkey 1982, McCorquodale et al. 1989,Strohmeyer and Peek 1996, Waldrip and Shaw 1979"
Cervus_nippon,-0.07,1.47,Herbivore,Terrestrial,"Borkowsky and Furubayashi 1998, Feldhamer et al. 1982"
Cheirogaleus_major,-1.40,-0.35,Omnivore,Terrestrial,Jones et al. 2009
Chrysocyon_brachyurus,1.43,1.38,Omnivore,Terrestrial,Dietz 1984
Chrysospalax_trevelyani,-3.21,-0.36,Carnivore,Terrestrial,Jones et al. 2009
Clethrionomys_californicus,-1.80,-1.65,Herbivore,Terrestrial,Tallmon and Mills 1994
Coendou_prehensilis,-0.73,0.63,Herbivore,Terrestrial,Montgomery and Lubin 1978
Condylura_cristata,-2.44,-1.32,Carnivore,Terrestrial,Jones et al. 2009
Conepatus_humboldtii,-0.79,0.12,Omnivore,Terrestrial,Fuller et al. 1987
Conepatus_semistriatus,-0.45,0.38,Omnivore,Terrestrial,Sunquist et al. 1989
Crocidura_russula,-3.63,-2.00,Carnivore,Terrestrial,Jones et al. 2009
Crocuta_crocuta,2.24,1.81,Carnivore,Terrestrial,"Gasaway et al. 1989, Sillero Zubiri and Gottelli 1992"
Cryptomys_damarensis,-1.89,-0.83,Herbivore,Terrestrial,Lovegrove 1988
Cryptomys_hottentotus,-2.80,-1.19,Herbivore,Terrestrial,Davies and Jarvis 1986
Cryptoprocta_ferox,-0.05,0.98,Carnivore,Terrestrial,Jones et al. 2009
Cryptotis_parva,-2.76,-2.30,Omnivore,Terrestrial,Jones et al. 2009
Cuon_alpinus,1.84,1.20,Carnivore,Terrestrial,Venkataraman et al. 1995
Cyclopes_didactylus,-1.40,-0.58,Carnivore,Terrestrial,Jones et al. 2009
Cynictis_penicillata,-0.23,-0.21,Carnivore,Terrestrial,Cavallini 1993
Cystophora_cristata,4.72,2.56,Carnivore,Marine,Bajzak et al. 2009
Dactylopsila_trivirgata,-1.10,-0.38,Omnivore,Terrestrial,Jones et al. 2009
Dama_dama,-0.01,1.85,Herbivore,Terrestrial,Nugent 1994
Dasypus_novemcinctus,-1.52,0.60,Omnivore,Terrestrial,Jones et al. 2009
Dasyurus_geoffroii,0.36,0.04,Carnivore,Terrestrial,Jones et al. 2009
Dasyurus_maculatus,0.16,0.52,Omnivore,Terrestrial,Jones et al. 2009
Dasyurus_viverrinus,-0.44,0.04,Omnivore,Terrestrial,Jones et al. 2009
"Daubentonia_madagascariensis",-0.96,0.44,Omnivore,Terrestrial,Jones et al. 2009
Delphinapterus_leucas,3.52,3.18,Carnivore,Marine,"Hobbs et al., 2005"
Dendrolagus_lumholtzi,-1.71,0.82,Herbivore,Terrestrial,Newell 1999
Desmana_moschata,-2.28,-0.37,Omnivore,Terrestrial,Jones et al. 2009
Diceros_bicornis,1.62,3.02,Herbivore,Terrestrial,"Frame 1980, Goddard 1967, Kiwia 1989, Mukinya 1973"
Didelphis_marsupialis,-0.25,0.04,Omnivore,Terrestrial,Sunquist et al. 1987
Didelphis_virginiana,-0.28,0.70,Omnivore,Terrestrial,"Gillette 1980, Shirer and Fitch 1970"
Dipodomys_ingens,-3.36,-0.81,Herbivore,Terrestrial,Braun 1985
Dipodomys_merriami,-2.13,-1.38,Herbivore,Terrestrial,"Jones 1989, Schroder 1987"
Dipodomys_ordii,-1.75,-1.25,Herbivore,Terrestrial,Schroder 1987
Dipodomys_spectabilis,-2.52,-0.84,Herbivore,Terrestrial,"Schroder 1979, Schroder 1987"
Dipodomys_stephensi,-2.83,-1.12,Herbivore,Terrestrial,Kelly and Price 1995
Dolichotis_patagonum,-0.01,0.90,Herbivore,Terrestrial,Taber and MacDonald 1992
Dugong_dugon,2.12,2.30,Herbivore,Marine,"Sheppard et al., 2006"
Echymipera_clara,-2.00,0.08,Omnivore,Terrestrial,Jones et al. 2009
Echymipera_kalubu,-1.70,-0.08,Omnivore,Terrestrial,Jones et al. 2009
Eira_barbara,1.16,0.65,Carnivore,Terrestrial,"Konecny 1989, Sunquist et al. 1989"
Elephantulus_rufescens,-2.47,-1.24,Carnivore,Terrestrial,Rathbun 1979
Elephas_maximus,2.04,3.60,Herbivore,Terrestrial,Sukumar 1989
Enhydra_lutris,0.18,1.44,Carnivore,Marine,Garshelis and Garshelis 1984
Equus_burchelli,2.21,2.38,Herbivore,Terrestrial,Smuts 1975
Equus_caballus,1.35,2.63,Herbivore,Terrestrial,Berger 1987
Equus_zebra,0.97,2.46,Herbivore,Terrestrial,Penzhorn 1982
Eremitalpa_granti,-1.33,-1.64,Carnivore,Terrestrial,Fielden 1991
Erethizon_dorsatum,-0.44,0.94,Herbivore,Terrestrial,Roze 1987
Erinaceus_europaeus,-0.71,-0.10,Carnivore,Terrestrial,"Boitani and Reggiani 1984, Morris 1988, Reeve 1982, Schoenfeld and YomTov 1985"
Erythrocebus_patas,1.61,0.90,Omnivore,Terrestrial,Jones et al. 2009
Eulemur_mongoz,-1.15,0.25,Omnivore,Terrestrial,Jones et al. 2009
Eumetopias_jubatus,4.68,2.44,Carnivore,Marine,"Merrick et al., 1997"
Euphractus_sexcinctus,-0.03,0.67,Omnivore,Terrestrial,Jones et al. 2009
Felis_catus,0.17,0.53,Carnivore,Terrestrial,"Apps 1986, Fitzgerald and Karl 1986, Genovesi et al. 1995, Hall et al. 2000, Jones and Coman 1982,Konecny 1987, Norbury et al. 1998, Page et al. 1992, Weber and Dailly 1998"
Felis_silvestris,0.45,0.68,Carnivore,Terrestrial,Stahl et al. 1988
Fossa_fossana,-0.05,0.27,Omnivore,Terrestrial,Jones et al. 2009
Funambulus_pennantii,-2.74,-0.99,Herbivore,Terrestrial,Prakash et al. 1968
Galago_senegalensis,-0.96,-0.67,Omnivore,Terrestrial,Jones et al. 2009
Galemys_pyrenaicus,-2.86,-1.22,Carnivore,Terrestrial,Jones et al. 2009
Galerella_pulverulenta,-0.23,-0.23,Omnivore,Terrestrial,Cavallini and Nel 1990
Galictis_vittata,0.62,0.24,Carnivore,Terrestrial,Sunquist et al. 1989
Galidia_elegans,-0.70,-0.09,Omnivore,Terrestrial,Jones et al. 2009
Gazella_gazella,0.27,1.33,Herbivore,Terrestrial,Dunham 1998
Genetta_genetta,0.89,0.24,Carnivore,Terrestrial,Palomares and Delibes 1994
Genetta_tigrina,-1.24,0.33,Carnivore,Terrestrial,Ikeda et al. 1982
Georychus_capensis,-3.57,-0.62,Herbivore,Terrestrial,"Jarvis and Beviss-Challinor unpublished data, cited in Reichman and Smith 1990"
Gerbillurus_paeba,-2.00,-1.59,Omnivore,Terrestrial,Jones et al. 2009
Giraffa_camelopardalis,2.14,3.13,Herbivore,Terrestrial,"Berry 1978, duToit 1990, Langman 1973, Leuthold and Leuthold 1978"
Glaucomys_sabrinus,-1.10,-0.83,Herbivore,Terrestrial,"Fridell and Litvaitis 1991, Witt 1992"
Glaucomys_volans,-1.53,-1.19,Herbivore,Terrestrial,"Bendel and Gates 1987, Madden 1974, Stone et al. 1997"
Graphiurus_ocularis,-0.96,-1.16,Herbivore,Terrestrial,vanHensbergen and Channing 1989
Gulo_gulo,2.56,1.33,Carnivore,Terrestrial,"Banci and Harestad 1990, Gardner 1985 MS Alaska, Hornocker and Hash 1981, Landa et al. 1998,Magoun 1985, Whitman et al. 1986"
Halichoerus_grypus,3.42,1.92,Carnivore,Marine,"Sjoberg and Ball, 2000"
Heliophobius_argenteocinereus,-3.76,-0.81,Herbivore,Terrestrial,Jarvis and Sale 1971 cited in Reichman and Smith 1990
Helogale_parvula,-0.55,-0.55,Carnivore,Terrestrial,Jones et al. 2009
Hemiechinus_auritus,-1.39,-0.53,Carnivore,Terrestrial,Schoenfeld and YomTov 1985
Herpestes_ichneumon,0.45,0.47,Omnivore,Terrestrial,Delibes and Beltran 1985
Herpestes_javanicus,-1.50,-0.36,Omnivore,Terrestrial,Nellis and Everard 1983
Herpestes_naso,-0.28,0.56,Omnivore,Terrestrial,Ray 1997
Heterocephalus_glaber,-2.27,-1.41,Herbivore,Terrestrial,Jarvis 1985 cited in Reichman and Smith 1990
Hyaena_brunnea,1.32,1.68,Carnivore,Terrestrial,Viljoen 1986
Hyaena_hyaena,1.77,1.60,Carnivore,Terrestrial,"Kruuk 1976, vanAarde et al. 1988"
Hydrurga_leptonyx,4.18,2.54,Carnivore,Marine,This study
Hyemoschus_aquaticus,-0.72,1.04,Herbivore,Terrestrial,Dubost 1978citedinEmmons 1983
Hylaeamys_megacephalus,-2.11,-1.18,Herbivore,Terrestrial,Guillotin 1982
Hylobates_agilis,-0.57,0.77,Omnivore,Terrestrial,Jones et al. 2009
Hylobates_klossii,-0.68,0.77,Omnivore,Terrestrial,Jones et al. 2009
Hylobates_lar,-0.34,0.75,Omnivore,Terrestrial,Jones et al. 2009
Hylobates_moloch,-0.77,0.77,Omnivore,Terrestrial,Jones et al. 2009
Hylobates_muelleri,-0.42,0.77,Omnivore,Terrestrial,Jones et al. 2009
Hylobates_pileatus,-0.48,0.74,Omnivore,Terrestrial,Jones et al. 2009
Hylomys_suillus,-2.74,-1.24,Omnivore,Terrestrial,Jones et al. 2009
Hypogeomys_antimena,-1.46,0.07,Herbivore,Terrestrial,Cook et al. 1991
Hystrix_africaeaustralis,0.23,1.23,Herbivore,Terrestrial,Corbet and vanAarde 1996
Hystrix_cristata,-0.24,1.13,Omnivore,Terrestrial,Jones et al. 2009
Hystrix_indica,0.15,1.18,Herbivore,Terrestrial,Saltz and Alkon 1989
Ichneumia_albicauda,-0.41,0.56,Carnivore,Terrestrial,"Ikeda et al. 1982, Waser and Waser 1985"
Isoodon_auratus,-0.93,-0.41,Carnivore,Terrestrial,Southgate et al. 1996
Isoodon_macrourus,-1.70,0.18,Omnivore,Terrestrial,Jones et al. 2009
Isoodon_obesulus,-1.68,-0.11,Carnivore,Terrestrial,Broughton and Dickman 1991
Lagostomus_maximus,-2.00,0.72,Herbivore,Terrestrial,Branch 1993
Lagothrix_lagotricha,0.60,0.80,Omnivore,Terrestrial,Jones et al. 2009
Lasiorhinus_krefftii,-0.60,1.41,Herbivore,Terrestrial,Johnson 1991
Lemmus_sibiricus,-2.08,-1.04,Herbivore,Terrestrial,Banks et al. 1975
Leontopithecus_chrysopygus,0.07,-0.18,Omnivore,Terrestrial,Jones et al. 2009
Leontopithecus_rosalia,-0.43,-0.23,Omnivore,Terrestrial,Jones et al. 2009
Leopardus_geoffroyi,0.85,0.56,Carnivore,Terrestrial,Johnson and Franklin 1991
Leopardus_pardalis,0.84,1.00,Carnivore,Terrestrial,"Crawshaw and Quigley 1989, Emmons 1988, Konecny 1989, Lopez 1985, Ludlow and Sunquist 1987,Sunquist et al. 1989"
Leopardus_wiedii,1.04,0.56,Carnivore,Terrestrial,Konecny 1989
Lepilemur_edwardsi,-2.02,-0.09,Omnivore,Terrestrial,Jones et al. 2009
Leptailurus_serval,0.38,1.08,Carnivore,Terrestrial,vanAarde and Skinner 1986
Leptonychotes_weddelli,1.98,2.62,Carnivore,Marine,This study
Lepus_americanus,-1.49,0.13,Herbivore,Terrestrial,"Boutin 1979, Ferron and Ouellet 1992"
Lepus_arcticus,0.46,0.61,Herbivore,Terrestrial,Hearn et al. 1987
Lepus_californicus,0.20,0.36,Herbivore,Terrestrial,Smith 1990
Lepus_capensis,-0.28,0.55,Herbivore,Terrestrial,Parkes 1984
Lepus_europaeus,-0.54,0.72,Herbivore,Terrestrial,Broekhuizen and Maaskamp 1982
Lepus_nigricollis,-1.86,0.50,Herbivore,Terrestrial,Kirk and Bathe 1994
Lepus_timidus,-0.34,0.45,Herbivore,Terrestrial,"Flux 1970, Hewson and Hinge 1990, Hulbert et al. 1996"
Liomys_salvini,-2.76,-1.38,Omnivore,Terrestrial,Jones et al. 2009
Lobodon_carcinophagus,5.57,2.40,Carnivore,Marine,This study
Lophocebus_albigena,0.61,0.87,Omnivore,Terrestrial,Jones et al. 2009
Loris_tardigradus,-2.00,-0.60,Omnivore,Terrestrial,Jones et al. 2009
Loxodonta_africana,3.24,3.60,Herbivore,Terrestrial,"DeVilliers and Kok 1997, Dunham 1986, Leuthold 1977, Lindeque and Lindeque 1991, Tchamba et al.1994, Thouless 1996, Viljoen 1989"
Lutra_canadensis,1.63,0.97,Carnivore,Marine,"Blundell et al., 2000"
Lutra_lutra,1.41,0.95,Carnivore,Terrestrial,Jones et al. 2009
Lutreolina_crassicaudata,-2.73,-0.26,Carnivore,Terrestrial,Jones et al. 2009
Lutrogale_perspicillata,0.80,0.95,Carnivore,Terrestrial,Jones et al. 2009
Lycaon_pictus,2.64,1.43,Carnivore,Terrestrial,"Anderka et al. 1999, Fuller and Kat 1990"
Lynx_canadensis,1.92,1.01,Carnivore,Terrestrial,"Bailey et al. 1986, Koehler 1990, Poole 1994, Slough and Mowat 1996"
Lynx_lynx,2.26,1.48,Carnivore,Terrestrial,"Haller and Breitenmoser 1986, Schmidt et al. 1997"
Lynx_pardinus,0.98,1.04,Carnivore,Terrestrial,Ferreras et al. 1997
Lynx_rufus,1.60,1.05,Carnivore,Terrestrial,"Bailey 1974, Berg 1981, Bradley and Fagre 1988, Buie et al. 1979, Conner et al. 1992, Fuller et al.1985, Knick 1990, Koehler and Hornocker 1989, Litvaitis et al. 1987, Lovallo and  and erson 1996,Major and Sherburne 1987, Rolley 1983, Rucker et al. 1989, Whitaker et al. 1987, Witmer anddeCalesta 1986, Zezulak and Schwab 1979, Zwank et al. 1985"
Macaca_silenus,-0.07,0.78,Omnivore,Terrestrial,Jones et al. 2009
Macropus_antilopinus,-0.19,1.44,Herbivore,Terrestrial,Croft 1987
Macropus_dorsalis,-0.04,1.05,Herbivore,Terrestrial,Evans 1996
Macropus_fuliginosus,0.51,1.34,Herbivore,Terrestrial,"Arnold et al. 1992, Coulson 1993, Priddell et al. 1988"
Macropus_giganteus,0.79,1.02,Herbivore,Terrestrial,Jarman and Taylor 1983
Macropus_robustus,-0.01,1.33,Herbivore,Terrestrial,"Clancy and Croft 1990, Croft 1987, Jarman and Taylor 1983"
Macropus_rufogriseus,-0.79,1.23,Herbivore,Terrestrial,Johnson 1987
Macropus_rufus,0.89,1.67,Herbivore,Terrestrial,Priddell et al. 1988
Macroscelides_proboscideus,0.00,-1.41,Omnivore,Terrestrial,Jones et al. 2009
Madoqua_guentheri,-1.56,0.66,Herbivore,Terrestrial,Ono et al. 1988
Manis_temminckii,1.12,1.10,Carnivore,Terrestrial,Heath and Coulson 1997
Marmosa_robinsoni,-2.66,-1.22,Omnivore,Terrestrial,Jones et al. 2009
Marmota_flaviventris,-1.24,0.53,Herbivore,Terrestrial,"Salsbury and Armitage 1994, Van Vuren unpubl. data"
Marmota_monax,-0.78,0.53,Herbivore,Terrestrial,"Ferron and Oellet 1989, Meier 1992, Swihart 1992"
Martes_americana,0.85,-0.05,Carnivore,Terrestrial,"Archibald and Jessup 1984, Bateman 1986, Burnett 1981, Buskirk 1983, Clark et al. 1989, Davis 1983,Katnik et al. 1994, Major 1979, Mech and Rogers 1977, Simon 1980, Slough 1989, Spencer 1981,Steventon 1979, Steventon and Major 1982, Thompson and Colgan 1987, Wynne and Sherburne 1984"
Martes_foina,0.64,0.26,Carnivore,Terrestrial,Genovesi et al. 1997
Martes_martes,0.96,0.39,Carnivore,Terrestrial,"Clevenger 1993, Pulliainen 1984, Schropfer et al. 1997, Zalewski et al. 1995"
Martes_pennanti,1.22,0.50,Carnivore,Terrestrial,"Arthur et al. 1989, Garant and Crete 1997"
Mastomys_natalensis,-2.93,-1.18,Omnivore,Terrestrial,Leirs et al. 1996
Megaptera_novaeangliae,4.68,4.52,Carnivore,Marine,"Dalla Rosa et al., 2008"
Meles_meles,0.34,1.09,Omnivore,Terrestrial,"Broseth et al. 1997, Kruuk 1987"
Melursus_ursinus,1.00,1.99,Carnivore,Terrestrial,Melquist 1982
Mephitis_mephitis,0.47,0.66,Omnivore,Terrestrial,"Lariviere and Messier 1998, Shirer and Fitch 1970, Storm 1972"
Meriones_hurrianae,-3.88,-1.05,Herbivore,Terrestrial,Fitzwater and Prakash 1969
Microdipodops_megacephalus,-2.33,-1.91,Omnivore,Terrestrial,Jones et al. 2009
Microtus_agrestis,-3.15,-1.42,Herbivore,Terrestrial,Agrell et al. 1996
Microtus_californicus,-4.07,-1.15,Herbivore,Terrestrial,Heske 1987
Microtus_montanus,-3.82,-1.25,Herbivore,Terrestrial,Douglas 1976
Microtus_ochrogaster,-3.17,-1.45,Herbivore,Terrestrial,"Danielson and Swihart 1987, Gaulin and FitzGerald 1988, Harvey and Barbour 1965, Jike et al. 1988"
Microtus_pennsylvanicus,-3.39,-1.30,Herbivore,Terrestrial,"Collins and Barrett 1997, Douglas 1976, Gaulin and FitzGerald 1988, Jones 1990, Jones and Sherman1983"
Microtus_pinetorum,-4.44,-1.53,Herbivore,Terrestrial,Gettle 1975
Microtus_richardsoni,-3.38,-1.07,Herbivore,Terrestrial,Ludwig 1981
Miopithecus_talapoin,0.08,0.10,Omnivore,Terrestrial,Jones et al. 2009
Mirounga_angustirostris,3.90,3.08,Carnivore,Marine,"LeBoeuf et al., 2000"
Mirounga_leonina,5.69,3.18,Carnivore,Marine,This study
Mirza_coquereli,-1.40,-0.49,Omnivore,Terrestrial,Jones et al. 2009
Monachus_schauinslandi,4.00,2.31,Carnivore,Marine,"Curtice et al., 2011"
Monodelphis_americana,-3.33,-1.71,Carnivore,Terrestrial,Jones et al. 2009
Monodon_monoceros,4.72,3.11,Carnivore,Marine,"Dietz et al., 2008"
Mungos_mungo,0.33,0.10,Carnivore,Terrestrial,Jones et al. 2009
Muntiacus_reevesi,-0.79,1.13,Herbivore,Terrestrial,Chapman et al. 1993
Mus_musculus,-3.21,-1.71,Carnivore,Terrestrial,Jones et al. 2009
Muscardinus_avellanarius,-2.36,-1.51,Herbivore,Terrestrial,Bright and Morris 1991
Mustela_erminea,0.12,-0.57,Carnivore,Terrestrial,"Alterio 1998, Murphy and Dowding 1994, Murphy and Dowding 1995"
Mustela_frenata,-0.75,-0.82,Carnivore,Terrestrial,DeVan 1982
Mustela_lutreola,-0.68,-0.25,Carnivore,Terrestrial,Jones et al. 2009
Mustela_nigripes,0.00,-0.04,Carnivore,Terrestrial,Jones et al. 2009
Mustela_nivalis,-0.19,-1.06,Carnivore,Terrestrial,Norbury et al. 1998
Mustela_putorius_furo,-0.05,-0.09,Carnivore,Terrestrial,Jedrzejewski et al. 1995
Mustela_sibirica,0.61,-0.28,Carnivore,Terrestrial,Jones et al. 2009
Myocastor_coypus,-1.52,0.80,Omnivore,Terrestrial,Jones et al. 2009
Myodes_californicus,-2.80,-1.65,Herbivore,Terrestrial,Tallmon and Mills 1994
Myodes_gapperi,-3.26,-1.70,Omnivore,Terrestrial,Jones et al. 2009
Myodes_glareolus,-2.92,-1.68,Omnivore,Terrestrial,Jones et al. 2009
Myopus_schisticolor,-3.01,-1.52,Herbivore,Terrestrial,Andreassen and Bondrup Nielsen 1991
Myrmecobius_fasciatus,-0.46,-0.29,Carnivore,Terrestrial,Jones et al. 2009
Myrmecophaga_tridactyla,0.51,1.48,Carnivore,Terrestrial,Shaw et al. 1987
Nasua_narica,0.24,0.67,Omnivore,Terrestrial,"Gompper 1997, Lanning 1976, Ratnayeke et al. 1994"
Nasua_nasua,-0.02,0.58,Omnivore,Terrestrial,Jones et al. 2009
Nectomys_squamipes,-2.66,-0.73,Omnivore,Terrestrial,Jones et al. 2009
Neomys_fodiens,-3.77,-1.82,Omnivore,Terrestrial,Jones et al. 2009
Neophoca_cinervea,2.78,1.95,Carnivore,Marine,Fowler et al. 2007
Neotoma_cinerea,-1.32,-0.40,Herbivore,Terrestrial,Topping and Millar 1996
Neotoma_fuscipes,-2.60,-0.51,Herbivore,Terrestrial,"Cranford 1977, Kelly 1990, Lynch et al. 1994, Sakai and Noon 1997"
Neotoma_lepida,-3.27,-0.88,Herbivore,Terrestrial,Thompson 1982
Neotoma_micropus,-3.24,-0.59,Herbivore,Terrestrial,Condit and Ribble 1997
Nesomys_audeberti,-2.02,-0.67,Herbivore,Terrestrial,Ryan et al. 1994
Nesomys_rufus,-2.30,-0.78,Herbivore,Terrestrial,Ryan et al. 1994
