"CiteID","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","TA","TAlog","SA","SAlog","Yr","DT","tWS","FD","PS","PST","DR","Drc","Drf"
"Metillo_2011","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,2000,2000-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,33,0.9429,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,32,0.9143,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,31,0.8857,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",11,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,27,0.7714,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",11,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,28,0.8,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",5,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",5,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",5,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,23,0.6571,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",8,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,29,0.8286,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,33,0.9429,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",8,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,33,0.9429,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,2000,2000-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,17,0.4857,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",6,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",6,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,24,0.6857,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",5,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,31,0.8857,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,26,0.7429,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",10,"Phylum","Subclass"
"Arrington_2002","Achirus_lineatus",153494,40,37,0.925,"Fish","Ectotherm",3.1,"Marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Houston_1993","Acrochordus_arafurae",522482,12,0,0,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,492,34,0.0691,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,68,20,0.2941,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-01-15,207,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,172,13,0.0756,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,152,15,0.0987,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,60,17,0.2833,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-01-15,207,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,196,25,0.1276,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,16,8,0.5,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-01-15,207,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,349,22,0.063,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1985,1985-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,34,3,0.0882,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,268,18,0.0672,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,23,1,0.0435,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,384,24,0.0625,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,96,9,0.0938,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,106,41,0.3868,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-01-15,207,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,457,24,0.0525,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1985,1985-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,22,4,0.1818,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,241,14,0.0581,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,34,2,0.0588,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,66,7,0.1061,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Shine_1986","Acrochordus_arafurae",522482,251,8,0.0319,"Reptiles","Ectotherm",1694,"Lotic",-12.58,132.87,"Years",2.86,"10km",4,1983,1983-01-01,NA,"Gut content (non-lethal)","Sub-population","Male",13,"Class","Species"
"Houston_1993","Acrochordus_arafurae",522482,40,13,0.325,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-01-15,207,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,11,3,0.2727,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-01-15,207,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,84,2,0.0238,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-07-15,24,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Shine_1986","Acrochordus_arafurae",522482,508,26,0.0512,"Reptiles","Ectotherm",1694,"Lotic",-12.58,132.87,"Years",2.86,"10km",4,1983,1983-01-01,NA,"Gut content (non-lethal)","Sub-population","Female",13,"Class","Species"
"Houston_1993","Acrochordus_arafurae",522482,14,6,0.4286,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-01-15,207,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,52,28,0.5385,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1987,1987-01-15,207,"Gut content (non-lethal)","Sub-population","Female",21,"Genus","Species"
"Houston_1993","Acrochordus_arafurae",522482,389,25,0.0643,"Reptiles","Ectotherm",1694,"Lotic",-12.5,132.82,"Days",0,"100m",2,1986,1986-07-15,24,"Gut content (non-lethal)","Sub-population","Male",21,"Genus","Species"
"Voris_1980","Acrochordus_granulatus",511702,86,12,0.1395,"Reptiles","Ectotherm",300.7,"Marine",2.28,103.32,"Months",1.38,"10km",4,1975,1975-01-01,NA,"Gut content (non-lethal)","Whole population","NA",5,"Family","Genus"
"Chintiroglou_1992","Actinia_equina",1084476,60,18,0.3,"Cnidarians","Ectotherm",0.42,"Marine",40.26,23.05,"Months",1.38,"1000m",3,1981,1981-06-15,176,"Gut content (lethal)","Whole population","NA",16,"Phylum","Species"
"Arrington_2002","Adinia_xenica",839523,60,57,0.95,"Fish","Ectotherm",0.64,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Arrington_2002","Adontosternarchus_devenanzii",3621581,58,58,1,"Fish","Ectotherm",27.22,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Gorbatenko_2009","Aeginura_grimaldii",369807,19,17,0.9,"Cnidarians","Ectotherm",NA,"Marine",54.28,155.42,"Months",1.38,"100km",5,2005,2005-07-01,192,"Gut content (lethal)","Whole population","NA",12,"Phylum","Species"
"Huseynov_2005","Aelurillus_concolor",3547998,1531,60,0.0392,"Arthropods","Ectotherm",NA,"Terrestrial",40.3,49.8,"Years",2.86,"10km",4,1999,1999-01-01,11,"Direct observation","Whole population","NA",26,"Order","Species"
"Arrington_2002","Aequidens_diadema",797223,103,45,0.4369,"Fish","Ectotherm",44.02,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Randall_1967","Aetobatus_narinari",759551,4,3,0.75,"Fish","Ectotherm",230000,"Marine",18.03,-65.21,"Years",2.86,"100km",5,1963,1963-01-01,NA,"Gut content (lethal)","Whole population","NA",4,"Class","Species"
"Longhurst_1957","Aetomylaeus_bovinus",126580,7,7,0.99,"Fish","Ectotherm",54910,"Marine",8.5,-13.1,"Years",2.86,"1000m",3,1953,1953-01-01,NA,"Gut content (lethal)","Whole population","NA",5,"Phylum","Genus"
"Luiselli_2006","Afronatrix_anoscopus",1074252,691,322,0.466,"Reptiles","Ectotherm",109.7,"Lotic",4.83,7.98,"Years",2.86,"1000m",3,2000,2000-01-01,NA,"Gut content (non-lethal)","Whole population","NA",11,"Genus","Species"
"Purcell_1981a","Agalma_elegans",536352,41,2,0.046,"Cnidarians","Ectotherm",NA,"Marine",25.56,-111.25,"Months",1.38,"100m",2,1978,1978-01-01,11,"Direct observation","Whole population","NA",1,"Phylum","Phylum"
"Purcell_1981a","Agalma_elegans",536352,107,17,0.159,"Cnidarians","Ectotherm",NA,"Marine",30,-60,"Years",2.86,"100km",5,1979,1979-01-01,11,"Direct observation","Whole population","NA",3,"Phylum","Class"
"Purcell_1981a","Agalma_okeni",536351,6,1,0.167,"Cnidarians","Ectotherm",NA,"Marine",30,-60,"Years",2.86,"100km",5,1979,1979-01-01,11,"Direct observation","Whole population","NA",1,"Phylum","Phylum"
"Purcell_1981a","Agalma_okeni",536351,54,3,0.062,"Cnidarians","Ectotherm",NA,"Marine",25.56,-111.25,"Months",1.38,"100m",2,1978,1978-01-01,11,"Direct observation","Whole population","NA",2,"Phylum","Class"
"Hardy_2006","Agama_agama",144931,21,21,1,"Reptiles","Ectotherm",117.7,"Terrestrial",0.36,36.75,"Months",1.38,"10km",4,1987,1987-07-15,206,"Gut content (lethal)","Whole population","NA",12,"Order","Family"
"Huey_2001","Agama_hispida",620401,378,375,0.9921,"Reptiles","Ectotherm",82.92,"Terrestrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Hardy_2006","Agama_rueppelli",568287,6,6,1,"Reptiles","Ectotherm",28.5,"Terrestrial",0.36,36.75,"Months",1.38,"10km",4,1987,1987-07-15,206,"Gut content (lethal)","Whole population","NA",6,"Order","Order"
"Arrington_2002","Ageneiosus_inermis",1077781,17,13,0.7647,"Fish","Ectotherm",3161,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Uhler_1939","Agkistrodon_contortrix",27080,105,72,0.6857,"Reptiles","Ectotherm",1248,"Terrestrial",38.5,-79,"Years",2.86,"10km",4,1936,1936-07-15,207,"Gut content (lethal)","Whole population","NA",12,"Phylum","Family"
"Surface_1906","Agkistrodon_contortrix",27080,56,41,0.7321,"Reptiles","Ectotherm",1248,"Terrestrial",41,-77.5,"Months",1.38,"100km",5,1906,1906-07-15,206,"Gut content (lethal)","Whole population","NA",22,"Class","Species"
"Savage_1967","Agkistrodon_contortrix",27080,95,42,0.4421,"Reptiles","Ectotherm",1248,"Terrestrial",35.61,-83.5,"Years",2.86,"1000m",3,1963,1963-07-15,206,"Gut content (lethal)","Whole population","NA",13,"Phylum","Species"
"Pages_1997","Aglantha_digitale",459324,694,345,0.4971,"Cnidarians","Ectotherm",NA,"Marine",60.12,6.09,"Days",0,"1000m",3,1992,1992-05-01,132,"Gut content (lethal)","Whole population","NA",7,"Class","Species"
"Aiken_1998","Agonostomus_monticola",760514,50,44,0.89,"Fish","Ectotherm",112,"Lotic",17,-77,"Years",2.86,"10km",4,1984,1984-07-15,207,"Gut content (lethal)","Sub-population","Size",7,"Phylum","Family"
"Crabtree_1998","Albula_vulpes",133398,385,318,0.826,"Fish","Ectotherm",3000,"Marine",25.5,-82,"Years",2.86,"100km",5,1993,1993-01-01,NA,"Gut content (lethal)","Whole population","NA",96,"Family","Species"
"Longhurst_1957","Alectis_alexandrina",115540,10,10,0.97,"Fish","Ectotherm",2400,"Marine",8.5,-13.1,"Years",2.86,"1000m",3,1953,1953-01-01,NA,"Gut content (lethal)","Whole population","NA",4,"Phylum","Family"
"Romanov_2008","Alepisaurus_ferox",587926,52,38,0.7308,"Fish","Ectotherm",2940,"Marine",-3.5,49,"Months",1.38,"100km",5,1987,1987-01-15,207,"Gut content (lethal)","Whole population","NA",19,"Phylum","Species"
"Varghese_2014","Alepisaurus_ferox",587926,102,78,0.7647,"Fish","Ectotherm",2940,"Marine",15.81,70.83,"Years",2.86,"1000km",6,2007,2007-01-01,NA,"Gut content (lethal)","Whole population","NA",18,"Order","Species"
"Romanov_2008","Alepisaurus_ferox",587926,106,68,0.6415,"Fish","Ectotherm",2940,"Marine",-9.75,58,"Months",1.38,"100km",5,1987,1987-05-15,327,"Gut content (lethal)","Whole population","NA",59,"Phylum","Species"
"Potier_2007","Alepisaurus_ferox",587926,139,129,0.93,"Fish","Ectotherm",2940,"Marine",-3.95,54.2,"Years",2.86,"100km",5,2002,2002-02-15,238,"Gut content (lethal)","Whole population","NA",59,"Class","Species"
"Arrington_2002","Alfaro_cultratus",808626,413,408,0.9879,"Fish","Ectotherm",5.512,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
